game_id,date,season,week,league,away,home,gp,pass_att,pass_cmp,pass_td,pass_yds,pat_att,punt_no,punt_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,12.0,20.0,15.0,3.0,225.0,1.0,28.0,1077.0,7.0,,
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,12.0,14.0,10.0,1.0,145.0,,22.0,770.0,8.0,1.0,6.0
