game_id,date,season,week,league,away,home,assists,catches,completions,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-06-30-COL-POR,2023-06-30,2023,10,AUDL,COLORADO SUMMIT,PORTLAND NITRO,1.0,9.0,12.0,12.0,1.0,76.0,35.0
2023-07-14-SD-POR,2023-07-14,2023,12,AUDL,SAN DIEGO GROWLERS,PORTLAND NITRO,,8.0,8.0,9.0,1.0,59.0,12.0
