game_id,date,season,week,league,away,home,def_fr,def_int,def_pd,def_tackles,gp,kr_no,kr_yds,pr_no,pr_td,pr_yds,recv_rec,recv_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,,1.0,,18.0,3.0,,,,,,,
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,1.0,2.0,2.0,38.0,7.0,16.0,363.0,14.0,1.0,182.0,3.0,40.0
