game_id,date,season,week,league,away,home,def_solo,def_tot,fumble_rec_yards,fumbles_forced,fumbles_lost_game,fumbles_opp_rec,fumbles_own_rec,misc_fum,misc_lost,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rush_att,rush_lg,rush_yds,score_conv,score_p,score_pts,score_tot,targets
FOOTBALL_AAF_2019_2_10_SL@ARI,2019-02-10,2019,1,AAF,SL,ARI,,,,,,,,,,0.0,3.0,1.0,,,,,,,,,,,,,,,,,5.0
FOOTBALL_CFL_2019_10_11_SSK@CGY,2019-10-11,2019,1,CFL,SSK,CGY,,,,,,,,,,,,,8.0,3.0,5.0,,11.0,21.0,,,,,,,,,,,
FOOTBALL_CFL_2019_10_19_WPG@CGY,2019-10-19,2019,1,CFL,WPG,CGY,,,,,,,,,,,,,42.0,6.0,6.0,,71.0,121.0,23.0,1.0,23.0,1.0,-7.0,-7.0,1.0,,2.0,,
FOOTBALL_CFL_2019_10_25_CGY@WPG,2019-10-25,2019,1,CFL,CGY,WPG,,,,,,,,,,,,,32.0,1.0,4.0,,12.0,32.0,,,,,,,,,,,
FOOTBALL_CFL_2019_10_5_CGY@MTL,2019-10-05,2019,1,CFL,CGY,MTL,,,,,,,,,,,,,43.0,9.0,12.0,1.0,54.0,149.0,,,,,,,,1.0,6.0,1.0,
FOOTBALL_CFL_2019_11_10_WPG@CGY,2019-11-10,2019,1,CFL,WPG,CGY,1.0,1.0,,,,,,,,,,,18.0,6.0,9.0,,26.0,66.0,10.0,1.0,10.0,,,,,,,,
FOOTBALL_CFL_2019_11_2_CGY@BC,2019-11-02,2019,1,CFL,CGY,BC,,,,,,,,,,,,,6.0,1.0,4.0,,1.0,6.0,,,,,,,,,,,
FOOTBALL_CFL_2019_2_10_SL@ARI,2019-02-10,2019,1,CFL,SL,ARI,,,,,,,,,,,,,3.0,1.0,5.0,,,3.0,,,,,,,,,,,
FOOTBALL_CFL_2019_2_16_ARI@MEM,2019-02-16,2019,1,CFL,ARI,MEM,,,,,,,,1.0,1.0,,,,64.0,2.0,4.0,,,84.0,,,,,,,,,,,
FOOTBALL_CFL_2019_2_23_ARI@SL,2019-02-23,2019,1,CFL,ARI,SL,,,,,,,,,,,,,10.0,4.0,8.0,,,33.0,,,,,,,,,,,
