game_id,date,season,week,league,away,home,def_solo,def_tot,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rush_att,rush_lg,rush_td,rush_yds,rushing_tds,rushing_yards,score_p,score_pts,score_r,score_tot
FOOTBALL_CFL_2018_10_20_MTL@TOR,2018-10-20,2018,1,CFL,MTL,TOR,,,,,,10.0,2.0,4.0,,5.0,6.0,,,,10.0,72.0,,118.0,,,,,,
FOOTBALL_CFL_2018_10_28_TOR@MTL,2018-10-28,2018,1,CFL,TOR,MTL,,,,,,,2.0,3.0,2.0,52.0,52.0,,,,9.0,18.0,,60.0,,,2.0,12.0,,2.0
FOOTBALL_CFL_2018_10_8_CGY@MTL,2018-10-08,2018,1,CFL,CGY,MTL,,,,,,,,2.0,,,,,,,12.0,13.0,,67.0,,,,,,
FOOTBALL_CFL_2018_11_3_MTL@HAM,2018-11-03,2018,1,CFL,MTL,HAM,,,,,,59.0,5.0,5.0,,102.0,103.0,,,,6.0,9.0,,31.0,,,,,,
FOOTBALL_CFL_2018_7_21_MTL@CGY,2018-07-21,2018,1,CFL,MTL,CGY,,,,,,11.0,1.0,1.0,,11.0,11.0,19.0,1.0,19.0,,,,,,,,,,
FOOTBALL_CFL_2018_7_26_EDM@MTL,2018-07-26,2018,1,CFL,EDM,MTL,,,,,,6.0,2.0,2.0,,5.0,6.0,53.0,4.0,147.0,1.0,1.0,,1.0,,,,,,
FOOTBALL_CFL_2018_8_11_MTL@OTT,2018-08-11,2018,1,CFL,MTL,OTT,,,,,,,,,,,,24.0,2.0,47.0,,,,,,,,,,
FOOTBALL_CFL_2018_8_18_MTL@EDM,2018-08-18,2018,1,CFL,MTL,EDM,,,,,,30.0,1.0,1.0,,30.0,30.0,47.0,4.0,97.0,,,,,,,,,,
FOOTBALL_CFL_2018_8_24_TOR@MTL,2018-08-24,2018,1,CFL,TOR,MTL,,,,,,18.0,2.0,2.0,,20.0,20.0,25.0,2.0,35.0,11.0,16.0,,53.0,,,,,,
FOOTBALL_CFL_2018_8_3_HAM@MTL,2018-08-03,2018,1,CFL,HAM,MTL,,,,,,,,,,,,30.0,6.0,119.0,4.0,35.0,,55.0,,,,,,
FOOTBALL_CFL_2018_9_14_BC@MTL,2018-09-14,2018,1,CFL,BC,MTL,1.0,1.0,,,,10.0,3.0,3.0,,10.0,10.0,,,,8.0,16.0,,52.0,,,,,,
FOOTBALL_CFL_2018_9_21_MTL@WPG,2018-09-21,2018,1,CFL,MTL,WPG,,,,,,12.0,4.0,5.0,,34.0,35.0,,,,12.0,21.0,,71.0,,,,,,
FOOTBALL_CFL_2018_9_30_SSK@MTL,2018-09-30,2018,1,CFL,SSK,MTL,,,,,,14.0,2.0,2.0,,24.0,24.0,,,,8.0,11.0,,31.0,,,,,,
FOOTBALL_CFL_2019_10_18_TOR@MTL,2019-10-18,2019,1,CFL,TOR,MTL,,,,,,14.0,2.0,3.0,,20.0,21.0,,,,11.0,14.0,,49.0,,,,,,
FOOTBALL_CFL_2019_10_5_CGY@MTL,2019-10-05,2019,1,CFL,CGY,MTL,,,,,,6.0,2.0,4.0,,11.0,11.0,,,,14.0,11.0,,61.0,,,,,,
FOOTBALL_CFL_2019_11_10_EDM@MTL,2019-11-10,2019,1,CFL,EDM,MTL,,,,,,,,1.0,,,,,,,9.0,9.0,2.0,38.0,,,,12.0,2.0,2.0
FOOTBALL_CFL_2019_11_1_MTL@OTT,2019-11-01,2019,1,CFL,MTL,OTT,,,,,,15.0,3.0,3.0,,19.0,21.0,,,,7.0,12.0,,45.0,,,,,,
FOOTBALL_CFL_2019_6_14_MTL@EDM,2019-06-14,2019,1,CFL,MTL,EDM,,,,,,18.0,2.0,3.0,,-1.0,17.0,,,,9.0,42.0,1.0,76.0,,,,6.0,1.0,1.0
FOOTBALL_CFL_2019_6_28_MTL@HAM,2019-06-28,2019,1,CFL,MTL,HAM,,,,,,21.0,5.0,6.0,,32.0,37.0,,,,13.0,20.0,,78.0,,,,,,
FOOTBALL_CFL_2019_7_13_MTL@OTT,2019-07-13,2019,1,CFL,MTL,OTT,,,,,,,,,,,,,,,18.0,21.0,,100.0,,,,,,
FOOTBALL_CFL_2019_7_20_EDM@MTL,2019-07-20,2019,1,CFL,EDM,MTL,,,,,,19.0,3.0,3.0,,37.0,37.0,,,,13.0,17.0,,47.0,,,,,,
FOOTBALL_CFL_2019_7_4_HAM@MTL,2019-07-04,2019,1,CFL,HAM,MTL,1.0,1.0,,,,46.0,1.0,2.0,,46.0,46.0,,,,22.0,49.0,3.0,203.0,,,,18.0,3.0,3.0
FOOTBALL_CFL_2019_8_25_MTL@TOR,2019-08-25,2019,1,CFL,MTL,TOR,,,,,,5.0,2.0,2.0,,7.0,7.0,,,,6.0,5.0,,19.0,,,,,,
FOOTBALL_CFL_2019_8_2_OTT@MTL,2019-08-02,2019,1,CFL,OTT,MTL,1.0,1.0,,,,9.0,4.0,5.0,,20.0,24.0,,,,12.0,21.0,,88.0,,,,,,
FOOTBALL_CFL_2019_9_14_MTL@SSK,2019-09-14,2019,1,CFL,MTL,SSK,,,,,,12.0,3.0,4.0,,26.0,26.0,,,,12.0,12.0,1.0,57.0,,,,6.0,1.0,1.0
FOOTBALL_CFL_2019_9_21_WPG@MTL,2019-09-21,2019,1,CFL,WPG,MTL,,,,,,13.0,2.0,3.0,,13.0,17.0,,,,5.0,4.0,,2.0,,,,,,
FOOTBALL_CFL_2019_9_28_MTL@BC,2019-09-28,2019,1,CFL,MTL,BC,,,,,,9.0,2.0,3.0,,10.0,10.0,,,,14.0,40.0,,147.0,,,,,,
FOOTBALL_CFL_2019_9_6_BC@MTL,2019-09-06,2019,1,CFL,BC,MTL,,,,,,36.0,2.0,3.0,,55.0,55.0,,,,15.0,21.0,,78.0,,,,,,
SYNTHETIC_CFL_2023_W1_MTL,2023-06-10,2023,1,CFL,OTT,MTL,,,,46.0,4.0,,,,,,,,,,,,,,,42.0,,,,
SYNTHETIC_CFL_2023_W3_MTL,2023-06-23,2023,3,CFL,MTL,HAM,,,,37.0,3.0,,,,,,,,,,,,,,,69.0,,,,
SYNTHETIC_CFL_2023_W4_MTL,2023-07-01,2023,4,CFL,WPG,MTL,,,,6.0,1.0,,,,,,,,,,,,,,,42.0,,,,
SYNTHETIC_CFL_2023_W5_MTL,2023-07-09,2023,5,CFL,MTL,BC,,,,22.0,2.0,,,,,,,,,,,,,,,17.0,,,,
SYNTHETIC_CFL_2023_W6_MTL,2023-07-14,2023,6,CFL,TOR,MTL,,,,36.0,4.0,,,,,,,,,,,,,,,53.0,,,,
SYNTHETIC_CFL_2023_W8_MTL,2023-07-30,2023,8,CFL,CGY,MTL,,,,18.0,3.0,,,,,,,,,,,,,,,86.0,,,,
SYNTHETIC_CFL_2023_W9_MTL,2023-08-05,2023,9,CFL,MTL,HAM,,,,,,,,,,,,,,,,,,,,106.0,,,,
SYNTHETIC_CFL_2023_W11_MTL,2023-08-19,2023,11,CFL,MTL,OTT,,,,36.0,2.0,,,,,,,,,,,,,,,31.0,,,,
SYNTHETIC_CFL_2023_W12_MTL,2023-08-24,2023,12,CFL,MTL,WPG,,,,,,,,,,,,,,,,,,,,32.0,,,,
SYNTHETIC_CFL_2023_W13_MTL,2023-09-02,2023,13,CFL,BC,MTL,,,,,,,,,,,,,,,,,,,1.0,102.0,,,,
SYNTHETIC_CFL_2023_W14_MTL,2023-09-09,2023,14,CFL,MTL,TOR,,,,8.0,2.0,,,,,,,,,,,,,,,6.0,,,,
SYNTHETIC_CFL_2023_W16_MTL,2023-09-23,2023,16,CFL,MTL,CGY,,,1.0,19.0,4.0,,,,,,,,,,,,,,,81.0,,,,
SYNTHETIC_CFL_2023_W17_MTL,2023-09-30,2023,17,CFL,MTL,OTT,,,,4.0,1.0,,,,,,,,,,,,,,1.0,85.0,,,,
SYNTHETIC_CFL_2023_W21_MTL,2023-10-28,2023,21,CFL,HAM,MTL,,,,13.0,2.0,,,,,,,,,,,,,,,48.0,,,,
SYNTHETIC_CFL_2024_W1_BC,2024-06-09,2024,1,CFL,BC,TOR,,,,50.0,5.0,,,,,,,,,,,,,,,35.0,,,,
SYNTHETIC_CFL_2024_W2_BC,2024-05-25,2024,2,CFL,BC,CGY,,,,,,,,,,,,,,,,,,,0.0,69.0,,,,
SYNTHETIC_CFL_2024_W3_BC,2024-06-21,2024,3,CFL,BC,WPG,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,83.0,,,,
SYNTHETIC_CFL_2024_W4_BC,2024-06-27,2024,4,CFL,EDM,BC,,,1.0,41.0,4.0,,,,,,,,,,,,,,0.0,42.0,,,,
SYNTHETIC_CFL_2024_W5_BC,2024-07-07,2024,5,CFL,BC,HAM,,,1.0,74.0,5.0,,,,,,,,,,,,,,1.0,82.0,,,,
SYNTHETIC_CFL_2024_W6_BC,2024-07-13,2024,6,CFL,SSK,BC,,,0.0,14.0,2.0,,,,,,,,,,,,,,0.0,14.0,,,,
SYNTHETIC_CFL_2024_W7_BC,2024-07-21,2024,7,CFL,BC,CGY,,,0.0,20.0,4.0,,,,,,,,,,,,,,0.0,64.0,,,,
SYNTHETIC_CFL_2024_W9_BC,2024-08-01,2024,9,CFL,BC,WPG,,,0.0,1.0,1.0,,,,,,,,,,,,,,0.0,42.0,,,,
SYNTHETIC_CFL_2024_W10_BC,2024-08-11,2024,10,CFL,BC,EDM,,,0.0,9.0,3.0,,,,,,,,,,,,,,0.0,87.0,,,,
SYNTHETIC_CFL_2024_W11_BC,2024-08-18,2024,11,CFL,WPG,BC,,,0.0,12.0,2.0,,,,,,,,,,,,,,0.0,100.0,,,,
SYNTHETIC_CFL_2024_W12_BC,2024-08-24,2024,12,CFL,BC,OTT,,,0.0,3.0,2.0,,,,,,,,,,,,,,0.0,99.0,,,,
