game_id,date,season,week,league,away,home,extra_point,made_19,made_29,made_39,made_49,made_50,missed
SYNTHETIC_USFL_2022_W1_NJ,,2022,1,USFL,,,3.0,0.0,0.0,0.0,1.0,0.0,2.0
SYNTHETIC_USFL_2022_W2_NJ,,2022,2,USFL,,,1.0,0.0,1.0,0.0,0.0,0.0,1.0
SYNTHETIC_USFL_2022_W3_NJ,,2022,3,USFL,,,3.0,0.0,0.0,0.0,0.0,1.0,2.0
SYNTHETIC_USFL_2022_W4_NJ,,2022,4,USFL,,,3.0,0.0,0.0,0.0,0.0,0.0,2.0
SYNTHETIC_USFL_2022_W5_NJ,,2022,5,USFL,,,3.0,0.0,1.0,1.0,0.0,0.0,0.0
SYNTHETIC_USFL_2022_W6_NJ,,2022,6,USFL,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0
SYNTHETIC_USFL_2022_W7_NJ,,2022,7,USFL,,,,0.0,0.0,1.0,1.0,0.0,1.0
SYNTHETIC_USFL_2022_W8_NJ,,2022,8,USFL,,,2.0,0.0,0.0,0.0,0.0,1.0,0.0
SYNTHETIC_USFL_2022_W9_NJ,,2022,9,USFL,,,1.0,0.0,0.0,2.0,0.0,0.0,2.0
SYNTHETIC_USFL_2022_W10_NJ,,2022,10,USFL,,,2.0,,,,,,
SYNTHETIC_USFL_2022_W11_NJ,,2022,11,USFL,,,2.0,,,,,,
