game_id,date,season,week,league,away,home,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,tackles
SYNTHETIC_CFL_W6_TOR,,,6,CFL,,,0.0,39.0,4.0,,,
SYNTHETIC_CFL_W7_TOR,,,7,CFL,,,1.0,152.0,8.0,,,
SYNTHETIC_CFL_W8_TOR,,,8,CFL,,,0.0,84.0,6.0,0.0,10.0,
SYNTHETIC_CFL_W9_TOR,,,9,CFL,,,0.0,8.0,1.0,,,
SYNTHETIC_CFL_W10_TOR,,,10,CFL,,,0.0,38.0,4.0,,,
SYNTHETIC_CFL_W11_TOR,,,11,CFL,,,0.0,41.0,6.0,,,
SYNTHETIC_CFL_W14_TOR,,,14,CFL,,,1.0,161.0,8.0,,,
SYNTHETIC_CFL_W16_TOR,,,16,CFL,,,1.0,41.0,3.0,,,
SYNTHETIC_CFL_W17_TOR,,,17,CFL,,,0.0,36.0,4.0,0.0,9.0,
SYNTHETIC_CFL_W18_TOR,,,18,CFL,,,0.0,84.0,6.0,0.0,0.0,
SYNTHETIC_CFL_W19_TOR,,,19,CFL,,,0.0,64.0,4.0,,,
SYNTHETIC_CFL_W20_TOR,,,20,CFL,,,1.0,117.0,7.0,,,
SYNTHETIC_CFL_2023_W2_TOR,,2023,2,CFL,,,,38.0,3.0,,-2.0,
SYNTHETIC_CFL_2023_W4_TOR,,2023,4,CFL,,,,25.0,4.0,,,
SYNTHETIC_CFL_2023_W7_TOR,,2023,7,CFL,,,1.0,69.0,6.0,,,
SYNTHETIC_CFL_2023_W8_TOR,,2023,8,CFL,,,,12.0,2.0,,,
SYNTHETIC_CFL_2023_W10_TOR,,2023,10,CFL,,,,20.0,3.0,,,
SYNTHETIC_CFL_2023_W13_TOR,,2023,13,CFL,,,,67.0,5.0,,21.0,
SYNTHETIC_CFL_2023_W14_TOR,,2023,14,CFL,,,,63.0,4.0,,,
SYNTHETIC_CFL_2024_W1_EDM,,2024,1,CFL,,,,62.0,9.0,,,1.0
SYNTHETIC_CFL_2024_W2_EDM,,2024,2,CFL,,,0.0,93.0,7.0,,,
SYNTHETIC_CFL_2024_W3_EDM,,2024,3,CFL,,,1.0,95.0,5.0,,,
SYNTHETIC_CFL_2024_W4_EDM,,2024,4,CFL,,,0.0,6.0,1.0,,,
SYNTHETIC_CFL_2024_W5_EDM,,2024,5,CFL,,,1.0,24.0,3.0,,,
SYNTHETIC_CFL_2024_W6_EDM,,2024,6,CFL,,,1.0,55.0,3.0,,,
SYNTHETIC_CFL_2024_W7_EDM,,2024,7,CFL,,,0.0,17.0,6.0,,,
SYNTHETIC_CFL_2024_W8_EDM,,2024,8,CFL,,,0.0,43.0,4.0,,,
SYNTHETIC_CFL_2024_W9_EDM,,2024,9,CFL,,,0.0,61.0,5.0,,,
SYNTHETIC_CFL_2024_W10_EDM,,2024,10,CFL,,,0.0,50.0,5.0,,,
SYNTHETIC_CFL_2024_W11_EDM,,2024,11,CFL,,,0.0,48.0,5.0,,,
SYNTHETIC_CFL_2024_W12_EDM,,2024,12,CFL,,,0.0,71.0,6.0,,,
SYNTHETIC_CFL_2024_W13_EDM,,2024,13,CFL,,,0.0,46.0,3.0,,,
SYNTHETIC_CFL_2024_W14_EDM,,2024,14,CFL,,,0.0,20.0,3.0,,,
SYNTHETIC_CFL_2024_W15_EDM,,2024,15,CFL,,,0.0,35.0,4.0,,,
SYNTHETIC_CFL_2024_W16_EDM,,2024,16,CFL,,,0.0,27.0,3.0,,,
SYNTHETIC_CFL_2024_W17_EDM,,2024,17,CFL,,,0.0,66.0,4.0,,,
SYNTHETIC_CFL_2024_W18_EDM,,2024,18,CFL,,,0.0,122.0,10.0,,,
SYNTHETIC_CFL_2024_W19_EDM,,2024,19,CFL,,,0.0,0.0,0.0,,,
SYNTHETIC_CFL_2024_W20_EDM,,2024,20,CFL,,,0.0,96.0,6.0,,,
SYNTHETIC_CFL_2025_W1_EDM,,2025,1,CFL,,,,1.0,1.0,,,
SYNTHETIC_CFL_2025_W3_EDM,,2025,3,CFL,,,1.0,95.0,5.0,,,
SYNTHETIC_CFL_2025_W4_EDM,,2025,4,CFL,,,,6.0,1.0,,,
SYNTHETIC_CFL_2025_W5_EDM,,2025,5,CFL,,,1.0,24.0,3.0,,,
SYNTHETIC_CFL_2025_W6_EDM,,2025,6,CFL,,,1.0,55.0,3.0,,,
SYNTHETIC_CFL_2025_W8_EDM,,2025,8,CFL,,,,43.0,4.0,,,
SYNTHETIC_CFL_2025_W9_EDM,,2025,9,CFL,,,,61.0,5.0,,,
SYNTHETIC_CFL_2025_W10_EDM,,2025,10,CFL,,,,50.0,5.0,,,
SYNTHETIC_CFL_2025_W11_EDM,,2025,11,CFL,,,,48.0,5.0,,,
SYNTHETIC_CFL_2025_W12_EDM,,2025,12,CFL,,,,71.0,6.0,,,
SYNTHETIC_CFL_2025_W13_EDM,,2025,13,CFL,,,,46.0,3.0,,,
SYNTHETIC_CFL_2025_W14_EDM,,2025,14,CFL,,,,20.0,3.0,,,
SYNTHETIC_CFL_2025_W15_EDM,,2025,15,CFL,,,,35.0,4.0,,5.0,
SYNTHETIC_CFL_2025_W16_EDM,,2025,16,CFL,,,1.0,60.0,4.0,,,
SYNTHETIC_CFL_2025_W17_EDM,,2025,17,CFL,,,,66.0,4.0,,,
SYNTHETIC_CFL_2025_W20_EDM,,2025,20,CFL,,,,96.0,6.0,,,
