game_id,date,season,week,league,away,home,1pt_conversion,conversions,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
FOOTBALL_XFL_2023_2_18_VGS@ARL,2023-02-18,2023,1,XFL,VGS,ARL,,,,7.0,2.0,,1.0
FOOTBALL_XFL_2023_2_25_DC@VGS,2023-02-25,2023,2,XFL,DC,VGS,,,,3.0,1.0,,38.0
FOOTBALL_XFL_2023_3_4_SEA@VGS,2023-03-04,2023,3,XFL,SEA,VGS,,,,,,,41.0
SYNTHETIC_XFL_2023_W3_VIPERS,,2023,3,XFL,,,0.0,0.0,,,,,
FOOTBALL_XFL_2023_3_12_VGS@DC,2023-03-12,2023,4,XFL,VGS,DC,,,,30.0,3.0,,23.0
FOOTBALL_XFL_2023_3_18_ORL@VGS,2023-03-18,2023,5,XFL,ORL,VGS,,,,,1.0,2.0,62.0
SYNTHETIC_XFL_2023_W5_VIPERS,,2023,5,XFL,,,0.0,1.0,,,,,
FOOTBALL_XFL_2023_3_25_STL@VGS,2023-03-25,2023,6,XFL,STL,VGS,,,,20.0,1.0,,15.0
FOOTBALL_XFL_2023_4_1_SA@VGS,2023-04-01,2023,7,XFL,SA,VGS,,,1.0,36.0,3.0,,39.0
FOOTBALL_XFL_2023_4_8_VGS@STL,2023-04-08,2023,8,XFL,VGS,STL,,,,20.0,3.0,,51.0
FOOTBALL_XFL_2023_4_15_VGS@HOU,2023-04-15,2023,9,XFL,VGS,HOU,,,,,,,4.0
