game_id,date,season,week,league,away,home,2_pointer,3_pointer,4_pointer,assist,blockedShot,rebound,steal
2452436,,,1,,,,3.0,1.0,0.0,1.0,0.0,5.0,1.0
2457579,,,2,,,,5.0,2.0,0.0,2.0,0.0,4.0,0.0
2463134,,,3,,,,6.0,0.0,0.0,1.0,0.0,5.0,0.0
2463412,2022-07-08,,4,BIG3,Triplets,Bivouac,3.0,0.0,0.0,2.0,2.0,5.0,1.0
2559381,2023-06-25,2023,1,BIG3,BIVOUAC,TRIPLETS,12.0,3.0,0.0,9.0,0.0,18.0,6.0
2559391,2023-07-01,2023,2,BIG3,3 HEADED MONSTERS,BIVOUAC,7.0,1.0,0.0,2.0,1.0,9.0,3.0
2559394,2023-07-09,2023,3,BIG3,ENEMIES,BIVOUAC,8.0,0.0,0.0,3.0,1.0,12.0,1.0
2559401,2023-07-15,2023,4,BIG3,BIVOUAC,KILLER 3s,6.0,0.0,0.0,0.0,0.0,6.0,3.0
2559413,2023-07-23,2023,5,BIG3,BIVOUAC,3\'s COMPANY,4.0,1.0,0.0,3.0,0.0,5.0,0.0
2559422,2023-07-30,2023,6,BIG3,BALL HOGS,BIVOUAC,7.0,0.0,0.0,2.0,1.0,8.0,1.0
2660094,2024-06-15,2024,1,BIG3,TRILOGY,BIVOUAC,4.0,0.0,0.0,1.0,0.0,10.0,0.0
