game_id,date,season,week,league,away,home,fg_att,fg_made,gp,pat_att,pat_made,punt_no,punt_yds,rush_att
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,2.0,,4.0,,,5.0,160.0,
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,,,12.0,,,38.0,1455.0,1.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,8.0,4.0,7.0,11.0,8.0,6.0,203.0,
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,3.0,1.0,3.0,1.0,,,,
