game_id,date,season,week,league,away,home,assisted_tackles,completion_pct,def_interceptions,defensive_bk,defensive_pd,defensive_tds,forced_fumbles,fumble_recoveries,int_avg,int_long,int_yards,interceptions,kick_returns,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_incompletions,pass_long,pass_yards_per_attempt,passing_2pt,passing_rate,passing_sacks,passing_td_pass,passing_td_pass_pct,passing_yards,passing_yds_lost,rec_avg,rec_long,receiving_fum,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_2pt,rushing_attempts,rushing_fum,rushing_tds,rushing_yards,sacks,safeties,solo_tackles,tackles,tackles_for_loss,tfl_yards
FOOTBALL_NAL_2025_3_15_T425362G979253@T425356,2025-03-15,2025,2,NAL,Wheeling Miners,Carolina Cobras,,833.0,,,,,,,,,,1.0,,,,,,18.0,15.0,,3.0,40.0,12.0,,124.0,0.0,3.0,167.0,178.0,0.0,,,,,,,4.0,8.0,,4.0,0.0,0.0,17.0,,,,,,
FOOTBALL_NAL_2025_3_21_T425356G979257@T434514,2025-03-21,2025,3,NAL,Carolina Cobras,Columbus Lions,,556.0,,,,,,,,,,0.0,,,,,,9.0,5.0,,4.0,13.0,8.0,,67.0,2.0,0.0,0.0,41.0,13.0,,,,,,,0.0,0.0,,1.0,0.0,0.0,0.0,,,,,,
FOOTBALL_NAL_2025_3_28_T434514G979258@T425356,2025-03-28,2025,4,NAL,Columbus Lions,Carolina Cobras,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,,,,,2.0,14.0,0.0,0.0,29.0,,,,,,,,,,,,,,10.0,0.0,0.0,0.0,10.0,1.0,,,,,,,,0.0,0.0,,0.0,,
FOOTBALL_NAL_2025_4_18_T463723G979268@T434514,2025-04-18,2025,7,NAL,Beaumont Renegades,Columbus Lions,,333.0,,,,,,,,,,0.0,,,,,,3.0,1.0,,2.0,1.0,1.0,,42.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,
FOOTBALL_NAL_2025_4_26_T434514G979274@T425357,2025-04-27,2025,8,NAL,Columbus Lions,Colorado Spartans,,647.0,,,,,,,,,,1.0,,,,,,17.0,11.0,,6.0,40.0,14.0,,110.0,1.0,3.0,176.0,157.0,5.0,,,,,,,4.0,8.0,,3.0,0.0,1.0,11.0,,,,,,
FOOTBALL_NAL_2025_5_10_T450150G979282@T434514,2025-05-10,2025,10,NAL,Shreveport Rouxgaroux,Columbus Lions,,563.0,,,,,,,,,,2.0,,,,,,16.0,9.0,,7.0,25.0,13.0,,79.0,0.0,5.0,313.0,115.0,0.0,,,,,,,3.0,7.0,,4.0,0.0,0.0,11.0,,,,,,
FOOTBALL_NAL_2025_5_17_T434514G979287@T463723,2025-05-17,2025,11,NAL,Columbus Lions,Beaumont Renegades,,632.0,,,,,,,,,,0.0,,,,,,19.0,12.0,,7.0,22.0,11.0,,124.0,2.0,4.0,211.0,136.0,7.0,,,,,,,9.0,14.0,,4.0,0.0,0.0,34.0,,,,,,
FOOTBALL_IFL_2026_5_17_TIOWABARNSTORMERSG202605177DL7@TNAZWRANGLERS,2026-05-17,2026,,IFL,Iowa Barnstormers,NAZ Wranglers,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,
FOOTBALL_AF1_2026_4_12_T584638G1168203@T584641,2026-04-12,2026,1,AF1,Oregon Lightning,Washington Wolfpack,,333.0,,,,,,,,,,0.0,,,,,,9.0,3.0,,,5.0,2.0,0.0,42.0,0.0,0.0,,5.0,0.0,,,,,,,3.0,3.0,0.0,1.0,0.0,0.0,3.0,,,,,,
FOOTBALL_IFL_2026_3_23_TNAZWRANGLERSG20260323WKQX@TSANDIEGOSTRIKEFORCE,2026-03-23,2026,2,IFL,NAZ Wranglers,San Diego Strike Force,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,,
