game_id,date,season,week,league,away,home,assists,blk,cto,games_played,goals,lb,penalty_minutes,pim,points,pp_goals,sh_goals,sog,to
NLL_2019_SEASON_TOTAL,,2019,1,NLL,,,6.0,,,10.0,3.0,,10.0,,9.0,,,,
NLL_2021_SEASON_TOTAL,,2021,1,NLL,,,15.0,,,18.0,9.0,,36.0,,24.0,,,,
NLL_2022_SEASON_TOTAL,,2022,1,NLL,,,16.0,,,18.0,7.0,,28.0,,23.0,1.0,1.0,,
NLL_2023_SEASON_TOTAL,,2023,1,NLL,,,15.0,,,18.0,12.0,,35.0,,27.0,,1.0,,
703347730,2025-12-06,2025,1,NLL,CALGARY,SASKATCHEWAN,3.0,3.0,3.0,,2.0,3.0,,3.0,,,,3.0,3.0
