game_id,date,season,week,league,away,home,def_int,def_tackles,gp
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,1.0,22.0,10.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,16.0,8.0
