game_id,date,season,week,league,away,home,conversions,interceptions_lost,lost_fumbles,passing_tds,passing_yards,rushing_tds,rushing_yards,tackles
FOOTBALL_XFL_2023_3_5_STL@DC,2023-03-05,2023,3,XFL,DEFENDERS,BATTLEHAWKS,,,,,,,,1.0
FOOTBALL_XFL_2023_4_8_VGS@STL,2023-04-08,2023,8,XFL,VGS,STL,,,,,,,,1.0
2,2024-03-30,2024,1,UFL,PANTHERS,BATTLEHAWKS,,0.0,,0.0,16.0,0.0,24.0,
19,2024-04-28,2024,5,UFL,DEFENDERS,BATTLEHAWKS,,,,,,1.0,11.0,
31,2024-05-19,2024,8,UFL,BATTLEHAWKS,DEFENDERS,1.0,0.0,,0.0,126.0,0.0,79.0,
33,2024-05-25,2024,9,UFL,RENEGADES,BATTLEHAWKS,,3.0,,1.0,179.0,2.0,51.0,
79,2025-03-28,2025,1,UFL,ROUGHNECKS,BATTLEHAWKS,,0.0,,0.0,189.0,2.0,43.0,
50,2025-04-06,2025,2,UFL,BATTLEHAWKS,BRAHMAS,,0.0,,0.0,162.0,0.0,58.0,
54,2025-04-13,2025,3,UFL,BATTLEHAWKS,DEFENDERS,,3.0,1.0,1.0,147.0,0.0,39.0,
56,2025-04-19,2025,4,UFL,RENEGADES,BATTLEHAWKS,,0.0,1.0,0.0,0.0,0.0,-4.0,
