game_id,date,season,week,league,away,home,assists,blk,cto,games_played,goals,lb,penalty_minutes,pim,points,sog,to
NLL_2021_SEASON_TOTAL,,,1,,,,3.0,,,16.0,2.0,,8.0,,5.0,,
NLL_2022_SEASON_TOTAL,,,1,,,,6.0,,,18.0,2.0,,20.0,,8.0,,
NLL_2023_SEASON_TOTAL,,,1,,,,7.0,,,15.0,1.0,,9.0,,8.0,,
703332113,2025-10-29,2025,1,NLL,COLORADO,VANCOUVER,1.0,1.0,1.0,,0.0,1.0,,1.0,,1.0,1.0
