game_id,date,season,week,league,away,home,assists,blk,cto,games_played,goals,lb,pim,sog,to
NLL_2021_SEASON_TOTAL,,2021,1,NLL,,,,,,1.0,,,,,
703344673,2025-12-05,2025,1,NLL,OSHAWA,HALIFAX,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
