game_id,date,season,week,league,away,home,def_solo,def_tot,interceptions_made,ret_num,sacks,tackles
FOOTBALL_CFL_2019_10_18_SSK@BC,2019-10-18,2019,1,CFL,SSK,BC,,,,1.0,,
FOOTBALL_CFL_2021_11_19_EDM@BC,2021-11-19,2021,1,CFL,EDM,BC,6.0,6.0,,,,
FOOTBALL_CFL_2022_10_15_TOR@EDM,2022-10-15,2022,1,CFL,TOR,EDM,4.0,4.0,,,,
FOOTBALL_CFL_2022_10_1_MTL@EDM,2022-10-01,2022,1,CFL,MTL,EDM,1.0,1.0,,,,
FOOTBALL_CFL_2022_10_21_BC@EDM,2022-10-21,2022,1,CFL,BC,EDM,5.0,5.0,,,,
FOOTBALL_CFL_2022_10_8_EDM@WPG,2022-10-08,2022,1,CFL,EDM,WPG,1.0,1.0,,,,
FOOTBALL_CFL_2022_6_11_EDM@BC,2022-06-11,2022,1,CFL,EDM,BC,1.0,1.0,,,,
FOOTBALL_CFL_2022_9_10_CGY@EDM,2022-09-10,2022,1,CFL,CGY,EDM,5.0,5.0,,,,
FOOTBALL_CFL_2022_9_16_EDM@SSK,2022-09-16,2022,1,CFL,EDM,SSK,1.0,1.0,,,,
FOOTBALL_CFL_2022_9_5_EDM@CGY,2022-09-05,2022,1,CFL,EDM,CGY,1.0,1.0,,,,
9889343,2023-09-22,2023,16,CFL,BC,EDM,,,0.0,,0.0,2.0
SYNTHETIC_CFL_2023_W17_EDM,,2023,17,CFL,,,,,0.0,,0.0,3.0
9889350,2023-10-06,2023,18,CFL,EDM,TOR,,,0.0,,0.0,6.0
9889356,2023-10-14,2023,19,CFL,MTL,EDM,,,0.0,,0.0,1.0
