game_id,date,season,week,league,away,home,4pt_fg,extra_point,field_goal_yards,missed
118,2026-05-17,2026,8,UFL,COLUMBUS AVIATORS,BIRMINGHAM STALLIONS,,,48.0,1.0
120,2026-05-23,2026,9,UFL,BIRMINGHAM STALLIONS,COLUMBUS AVIATORS,,3.0,,
126,2026-05-31,2026,10,UFL,LOUISVILLE KINGS,COLUMBUS AVIATORS,1.0,2.0,219.0,1.0
