game_id,date,season,week,league,away,home,extra_point,field_goal_yards,interceptions_made,missed,ret_lg,ret_num,ret_ret,ret_ryds,ret_td,ret_yds,sacks,score_pts,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm,tackles
FOOTBALL_CFL_2021_11_20_SSK@HAM,2021-11-20,2021,1,CFL,SSK,HAM,,,,,66.0,3.0,2.0,24.0,,179.0,,12.0,4.0,3.0,38.0,11.0,2.0,2.0,
FOOTBALL_CFL_2021_11_28_MTL@HAM,2021-11-28,2021,1,CFL,MTL,HAM,,,,,59.0,3.0,3.0,26.0,,168.0,,11.0,3.0,3.0,38.0,11.0,2.0,2.0,
FOOTBALL_CFL_2021_12_12_WPG@HAM,2021-12-12,2021,1,CFL,WPG,HAM,,,,,72.0,4.0,4.0,93.0,,252.0,,11.0,3.0,3.0,13.0,11.0,2.0,2.0,
FOOTBALL_CFL_2021_12_5_HAM@TOR,2021-12-05,2021,1,CFL,HAM,TOR,,,,,65.0,5.0,5.0,77.0,,263.0,,1.0,,,,1.0,2.0,1.0,
FOOTBALL_CFL_2021_8_27_HAM@MTL,2021-08-27,2021,1,CFL,HAM,MTL,,,,,68.0,5.0,4.0,57.0,,303.0,,9.0,4.0,2.0,46.0,9.0,3.0,3.0,
FOOTBALL_CFL_2021_9_10_HAM@TOR,2021-09-10,2021,1,CFL,HAM,TOR,,,,,67.0,3.0,3.0,32.0,,147.0,,4.0,1.0,1.0,28.0,4.0,2.0,1.0,
FOOTBALL_CFL_2021_9_17_CGY@HAM,2021-09-17,2021,1,CFL,CGY,HAM,,,,,55.0,8.0,6.0,33.0,,323.0,,,,,,,,,
FOOTBALL_CFL_2021_9_22_HAM@OTT,2021-09-22,2021,1,CFL,HAM,OTT,,,,,59.0,9.0,7.0,94.0,1.0,404.0,,,,,,,,,
FOOTBALL_CFL_2021_9_6_TOR@HAM,2021-09-06,2021,1,CFL,TOR,HAM,,,,,76.0,5.0,5.0,112.0,,312.0,,5.0,1.0,1.0,13.0,5.0,2.0,2.0,
FOOTBALL_CFL_2022_10_14_HAM@CGY,2022-10-14,2022,1,CFL,HAM,CGY,,,,,95.0,5.0,4.0,90.0,,349.0,,1.0,,,,,,,
FOOTBALL_CFL_2022_10_21_OTT@HAM,2022-10-21,2022,1,CFL,OTT,HAM,,,,,75.0,2.0,2.0,28.0,,114.0,,,,,,,,,
FOOTBALL_CFL_2022_10_7_SSK@HAM,2022-10-07,2022,1,CFL,SSK,HAM,,,,,65.0,3.0,3.0,54.0,,166.0,,,,,,,,,
FOOTBALL_CFL_2022_6_11_HAM@SSK,2022-06-11,2022,1,CFL,HAM,SSK,,,,,66.0,2.0,2.0,27.0,,130.0,,7.0,3.0,2.0,52.0,7.0,1.0,1.0,
FOOTBALL_CFL_2022_6_18_CGY@HAM,2022-06-18,2022,1,CFL,CGY,HAM,,,,,73.0,5.0,5.0,104.0,,314.0,,10.0,3.0,3.0,39.0,10.0,2.0,1.0,
