game_id,date,season,week,league,away,home,receiving_tds,receiving_yards,receptions,rushing_yards
KATS-FIREBIRDS-0329,2025-03-29,2025,3,AF1,ALBANY,NASHVILLE,0.0,62.0,7.0,
SYNTHETIC_AF1_2025_W3_NASHVILLE,2025-03-29,2025,3,AF1,ALBANY,NASHVILLE,,,,4.0
NASHVILLE-OREGON-0404,2025-04-04,2025,4,AF1,OREGON,NASHVILLE,0.0,8164.0,1105.0,
SYNTHETIC_AF1_2025_W4_NASHVILLE,2025-04-04,2025,4,AF1,OREGON,NASHVILLE,,22.0,3.0,
SYNTHETIC_AF1_2025_W6_NASHVILLE,2025-04-17,2025,6,AF1,NASHVILLE,WASHINGTON,,13.0,3.0,
SWKANSAS-NASHVILLE-0426,2025-04-26,2025,7,AF1,NASHVILLE,SW KANSAS,0.0,16.0,2.0,
ALBANY-NASHVILLE-0510,2025-05-10,2025,9,AF1,NASHVILLE,ALBANY,1.0,138.0,8.0,
NASHVILLE-CORPUSCHRISTI-0601,2025-06-01,2025,12,AF1,CORPUS CHRISTI,NASHVILLE,1.0,75.0,6.0,
NASHVILLE-BILLINGS-0609,2025-06-09,2025,13,AF1,BILLINGS,NASHVILLE,1.0,16.0,1.0,
CORPUSCHRISTI-NASHVILLE-0614,2025-06-14,2025,14,AF1,NASHVILLE,CORPUS CHRISTI,0.0,22.0,2.0,
NASHVILLE-ALBANY-0628,2025-06-28,2025,16,AF1,ALBANY,NASHVILLE,2.0,93.0,10.0,
