game_id,date,season,week,league,away,home,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_yac,recv_yds
FOOTBALL_CFL_2022_6_11_HAM@SSK,2022-06-11,2022,1,CFL,HAM,SSK,,,,33.0,1.0,2.0,2.0,33.0
FOOTBALL_CFL_2022_6_18_SSK@EDM,2022-06-18,2022,1,CFL,SSK,EDM,,,,13.0,2.0,3.0,2.0,22.0
FOOTBALL_CFL_2022_6_23_SSK@MTL,2022-06-23,2022,1,CFL,SSK,MTL,,,,15.0,3.0,4.0,8.0,22.0
FOOTBALL_CFL_2022_7_16_SSK@TOR,2022-07-16,2022,1,CFL,SSK,TOR,,,,9.0,2.0,3.0,,13.0
FOOTBALL_CFL_2022_7_2_MTL@SSK,2022-07-02,2022,1,CFL,MTL,SSK,,,,9.0,1.0,3.0,9.0,9.0
SYNTHETIC_CFL_2022_W1_SSK,,2022,1,CFL,,,0.0,33.0,1.0,,,,,
SYNTHETIC_CFL_2022_W3_SSK,,2022,3,CFL,,,0.0,22.0,3.0,,,,,
SYNTHETIC_CFL_2022_W4_SSK,,2022,4,CFL,,,0.0,9.0,1.0,,,,,
SYNTHETIC_CFL_2022_W5_SSK,,2022,5,CFL,,,0.0,0.0,0.0,,,,,
6232,2022-07-16,2022,6,CFL,SSK,TOR,0.0,13.0,2.0,,,,,
