game_id,date,season,week,league,away,home,1pt_conversion,interceptions_lost,lost_fumbles,passing_tds,passing_yards,rushing_tds,rushing_yards
SYNTHETIC_UFL_2024_W2_PANTHERS,,2024,2,UFL,,,,0.0,1.0,0.0,0.0,0.0,9.0
SYNTHETIC_UFL_2024_W3_PANTHERS,,2024,3,UFL,,,,0.0,,0.0,0.0,0.0,13.0
SYNTHETIC_UFL_2024_W4_PANTHERS,,2024,4,UFL,,,,1.0,1.0,1.0,105.0,0.0,10.0
SYNTHETIC_UFL_2024_W5_PANTHERS,,2024,5,UFL,,,1.0,0.0,,0.0,175.0,1.0,10.0
SYNTHETIC_UFL_2024_W6_PANTHERS,,2024,6,UFL,,,,0.0,,1.0,202.0,0.0,55.0
SYNTHETIC_UFL_2024_W9_PANTHERS,,2024,9,UFL,,,,1.0,,0.0,110.0,0.0,10.0
SYNTHETIC_UFL_2024_W10_PANTHERS,,2024,10,UFL,,,,0.0,,1.0,195.0,1.0,36.0
SYNTHETIC_UFL_2024_W11_PANTHERS,,2024,11,UFL,,,,3.0,,1.0,182.0,0.0,3.0
SYNTHETIC_UFL_2025_W1_PANTHERS,,2025,1,UFL,,,,0.0,,0.0,30.0,0.0,15.0
SYNTHETIC_UFL_2025_W2_PANTHERS,,2025,2,UFL,,,,0.0,,0.0,8.0,,
SYNTHETIC_UFL_2025_W3_PANTHERS,,2025,3,UFL,,,,0.0,,0.0,21.0,,
SYNTHETIC_UFL_2025_W5_PANTHERS,,2025,5,UFL,,,,1.0,,0.0,59.0,,
SYNTHETIC_UFL_2025_W6_PANTHERS,,2025,6,UFL,,,,,,,,0.0,-1.0
SYNTHETIC_UFL_2025_W8_PANTHERS,,2025,8,UFL,,,1.0,0.0,,3.0,167.0,0.0,22.0
SYNTHETIC_UFL_2025_W9_PANTHERS,,2025,9,UFL,,,1.0,0.0,,2.0,236.0,0.0,15.0
SYNTHETIC_UFL_2025_W10_PANTHERS,,2025,10,UFL,,,,1.0,1.0,0.0,70.0,0.0,26.0
