game_id,date,season,week,league,away,home,recv_gp,recv_rec,recv_td,recv_yds,rush_att,rush_gp,rush_yds
FOOTBALL_CFL_2019_SEASON_TOTAL,,2019,1,CFL,,,16.0,20.0,2.0,156.0,37.0,16.0,158.0
FOOTBALL_CFL_2021_SEASON_TOTAL,,2021,1,CFL,,,11.0,28.0,,247.0,4.0,11.0,-2.0
