game_id,date,season,week,league,away,home,def_solo,def_tot,interceptions_lost,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,passing_tds,passing_yards,rush_att,rush_lg,rush_td,rush_yds,rushing_tds,rushing_yards,score_conv,score_pts,score_r,score_tot
FOOTBALL_CFL_2017_11_3_MTL@HAM,2017-11-03,2017,1,CFL,MTL,HAM,,,,9.0,2.0,,9.0,,,,14.0,,,2.0,5.0,,5.0,,,,,,
FOOTBALL_CFL_2018_10_20_MTL@TOR,2018-10-20,2018,1,CFL,MTL,TOR,1.0,1.0,,,,,,10.0,1.0,,,,,2.0,2.0,,3.0,,,,,,
FOOTBALL_CFL_2018_10_28_TOR@MTL,2018-10-28,2018,1,CFL,TOR,MTL,,,,10.0,5.0,,13.0,,,1.0,46.0,,,5.0,7.0,,20.0,,,,,,
FOOTBALL_CFL_2018_10_8_CGY@MTL,2018-10-08,2018,1,CFL,CGY,MTL,,,,,,,,,,,,,,1.0,2.0,,2.0,,,,,,
FOOTBALL_CFL_2018_11_3_MTL@HAM,2018-11-03,2018,1,CFL,MTL,HAM,,,,15.0,8.0,,,22.0,2.0,1.0,217.0,,,4.0,10.0,2.0,21.0,,,,12.0,2.0,2.0
FOOTBALL_CFL_2018_8_11_MTL@OTT,2018-08-11,2018,1,CFL,MTL,OTT,,,,,,,,,,,,,,2.0,2.0,,3.0,,,,,,
FOOTBALL_CFL_2018_8_18_MTL@EDM,2018-08-18,2018,1,CFL,MTL,EDM,,,,25.0,14.0,1.0,40.0,9.0,2.0,1.0,217.0,,,2.0,22.0,1.0,23.0,,,,6.0,1.0,1.0
FOOTBALL_CFL_2018_8_24_TOR@MTL,2018-08-24,2018,1,CFL,TOR,MTL,,,,32.0,22.0,1.0,52.0,9.0,2.0,,303.0,,,6.0,13.0,2.0,29.0,,,,12.0,2.0,2.0
FOOTBALL_CFL_2018_8_31_MTL@OTT,2018-08-31,2018,1,CFL,MTL,OTT,,,,27.0,18.0,2.0,50.0,35.0,5.0,,242.0,,,9.0,28.0,1.0,75.0,,,,6.0,1.0,1.0
FOOTBALL_CFL_2018_9_14_BC@MTL,2018-09-14,2018,1,CFL,BC,MTL,,,,22.0,11.0,4.0,36.0,53.0,7.0,,95.0,,,9.0,21.0,,69.0,,,,,,
FOOTBALL_CFL_2018_9_21_MTL@WPG,2018-09-21,2018,1,CFL,MTL,WPG,,,,,,,,,,,,,,2.0,,1.0,3.0,,,,6.0,1.0,1.0
FOOTBALL_CFL_2018_9_30_SSK@MTL,2018-09-30,2018,1,CFL,SSK,MTL,,,,,,,,,,,,,,3.0,2.0,1.0,4.0,,,,6.0,1.0,1.0
FOOTBALL_CFL_2019_11_1_MTL@OTT,2019-11-01,2019,1,CFL,MTL,OTT,,,,1.0,,,,,,,,,,1.0,2.0,,2.0,,,,,,
FOOTBALL_CFL_2019_6_14_MTL@EDM,2019-06-14,2019,1,CFL,MTL,EDM,,,,17.0,7.0,,20.0,26.0,2.0,1.0,57.0,,,5.0,18.0,,45.0,,,,,,
FOOTBALL_CFL_2019_8_2_OTT@MTL,2019-08-02,2019,1,CFL,OTT,MTL,,,,17.0,8.0,,14.0,5.0,1.0,,57.0,,,1.0,1.0,,1.0,,,,,,
FOOTBALL_CFL_2019_8_9_SSK@MTL,2019-08-09,2019,1,CFL,SSK,MTL,,,,7.0,4.0,,22.0,13.0,1.0,,47.0,,,,,,,,,,,,
FOOTBALL_CFL_2019_9_28_MTL@BC,2019-09-28,2019,1,CFL,MTL,BC,,,,,,,,,,,,,,4.0,7.0,1.0,13.0,,,,6.0,1.0,1.0
FOOTBALL_CFL_2021_10_22_TOR@MTL,2021-10-22,2021,1,CFL,TOR,MTL,,,,,,,,,,,,,,4.0,,2.0,10.0,,,,12.0,2.0,2.0
FOOTBALL_CFL_2021_10_30_BC@TOR,2021-10-30,2021,1,CFL,BC,TOR,,,,1.0,1.0,,13.0,,,,13.0,,,3.0,,1.0,3.0,,,,6.0,1.0,1.0
FOOTBALL_CFL_2021_10_6_OTT@TOR,2021-10-06,2021,1,CFL,OTT,TOR,,,,,,,,,,,,,,2.0,1.0,,1.0,,,,,,
