game_id,date,season,week,league,away,home,1pt_conversion,3pt_other,interceptions_lost,lost_fumbles,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
SYNTHETIC_CFL_2022_W1_HAM,,2022,1,CFL,,,,,,,,,0.0,19.0,2.0,0.0,1.0
6233,2022-07-16,2022,6,CFL,OTT,HAM,,,,,,,0.0,36.0,4.0,0.0,34.0
6235,2022-07-21,2022,7,CFL,HAM,BC,,,,,,,0.0,8.0,1.0,0.0,36.0
6238,2022-07-28,2022,8,CFL,MTL,HAM,,,,,,,0.0,26.0,4.0,1.0,24.0
6244,2022-08-06,2022,9,CFL,HAM,TOR,,,0.0,,0.0,1.0,1.0,67.0,8.0,0.0,47.0
6247,2022-08-12,2022,10,CFL,TOR,HAM,,,,,,,0.0,5.0,2.0,0.0,46.0
6252,2022-08-20,2022,11,CFL,HAM,MTL,,,,,,,0.0,21.0,4.0,0.0,41.0
6284,2022-10-21,2022,20,CFL,OTT,HAM,,,,,,,0.0,-7.0,1.0,0.0,27.0
46,2025-03-30,2025,1,UFL,DEFENDERS,STALLIONS,,,,,,,0.0,0.0,0.0,0.0,42.0
48,2025-04-05,2025,2,UFL,DEFENDERS,SHOWBOATS,,,,,,,,,,0.0,42.0
54,2025-04-13,2025,3,UFL,BATTLEHAWKS,DEFENDERS,,,,,,,0.0,-4.0,1.0,0.0,54.0
57,2025-04-20,2025,4,UFL,DEFENDERS,BRAHMAS,,,,,,,,,,0.0,5.0
60,2025-04-27,2025,5,UFL,RENEGADES,DEFENDERS,,,,,,,0.0,5.0,1.0,1.0,32.0
63,2025-05-04,2025,6,UFL,PANTHERS,DEFENDERS,,,,,,,0.0,0.0,1.0,0.0,47.0
65,2025-05-09,2025,7,UFL,BRAHMAS,DEFENDERS,1.0,,,,,,0.0,5.0,1.0,1.0,45.0
71,2025-05-18,2025,8,UFL,DEFENDERS,RENEGADES,,1.0,,,,,0.0,27.0,1.0,1.0,89.0
83,2025-05-25,2025,9,UFL,ROUGHNECKS,DEFENDERS,,,,,,,0.0,0.0,0.0,1.0,57.0
75,2025-05-30,2025,10,UFL,DEFENDERS,BATTLEHAWKS,,,,,,,0.0,6.0,2.0,0.0,3.0
88,2026-03-28,2026,1,UFL,DC DEFENDERS,ST. LOUIS BATTLEHAWKS,,,,,,,0.0,0.0,1.0,1.0,57.0
91,2026-04-03,2026,2,UFL,DC DEFENDERS,COLUMBUS AVIATORS,,,,,,,0.0,29.0,1.0,3.0,97.0
96,2026-04-11,2026,3,UFL,HOUSTON GAMBLERS,DC DEFENDERS,,,,,,,0.0,-2.0,1.0,1.0,70.0
101,2026-04-18,2026,4,UFL,ST. LOUIS BATTLEHAWKS,DC DEFENDERS,,,,,,,0.0,5.0,4.0,0.0,20.0
103,2026-04-24,2026,5,UFL,DC DEFENDERS,BIRMINGHAM STALLIONS,,,,,,,0.0,4.0,1.0,0.0,23.0
109,2026-05-02,2026,6,UFL,DALLAS RENEGADES,DC DEFENDERS,,,,,,,,,,0.0,17.0
112,2026-05-09,2026,7,UFL,LOUISVILLE KINGS,DC DEFENDERS,,,,,,,0.0,11.0,2.0,0.0,48.0
116,2026-05-16,2026,8,UFL,DC DEFENDERS,LOUISVILLE KINGS,,,,1.0,,,,,,1.0,15.0
119,2026-05-22,2026,9,UFL,DC DEFENDERS,ORLANDO STORM,,,,,,,0.0,32.0,1.0,1.0,64.0
