game_id,date,season,week,league,away,home,def_tackles,fg_att,fg_made,gp,pat_att,pat_made,punt_no,punt_yds
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,5.0,8.0,4.0,12.0,26.0,17.0,36.0,1319.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,2.0,,,7.0,,,6.0,280.0
