game_id,date,season,week,league,away,home,assists,blocks,def_rebounds,fg3_pct,fg3a,fg3m,fg_pct,fga,fgm,fouls,ft_pct,fta,ftm,minutes,off_rebounds,plus_minus,points,rebounds,steals,turnovers
WNBA_202110060PHO,2021-10-06,2021,1,WNBA,LVA,PHO,3.0,,3.0,0.5,2.0,1.0,0.571,7.0,4.0,5.0,,,,14.466666666666667,1.0,4.0,9.0,4.0,3.0,1.0
WNBA_202110080LVA,2021-10-08,2021,1,WNBA,PHO,LVA,1.0,,8.0,,1.0,,0.4,10.0,4.0,3.0,1.0,2.0,2.0,29.25,3.0,15.0,10.0,11.0,3.0,2.0
WNBA_202205060CHI,2022-05-06,2022,1,WNBA,LAS,CHI,,2.0,3.0,,1.0,,0.333,12.0,4.0,3.0,0.667,6.0,4.0,24.233333333333334,1.0,-3.0,12.0,4.0,4.0,5.0
WNBA_202205080IND,2022-05-08,2022,1,WNBA,LAS,IND,2.0,1.0,11.0,,1.0,,0.727,11.0,8.0,2.0,1.0,6.0,6.0,21.9,,12.0,22.0,11.0,,1.0
WNBA_202205110ATL,2022-05-11,2022,1,WNBA,LAS,ATL,2.0,5.0,2.0,1.0,1.0,1.0,0.4,10.0,4.0,1.0,0.875,8.0,7.0,25.716666666666665,,-11.0,16.0,2.0,,2.0
WNBA_202205140CON,2022-05-14,2022,1,WNBA,LAS,CON,,,3.0,,,,0.444,9.0,4.0,4.0,1.0,2.0,2.0,19.766666666666666,1.0,-5.0,10.0,4.0,,3.0
WNBA_202205170LAS,2022-05-17,2022,1,WNBA,MIN,LAS,3.0,3.0,6.0,0.5,2.0,1.0,0.625,8.0,5.0,5.0,0.333,3.0,1.0,24.583333333333332,1.0,4.0,12.0,7.0,,3.0
WNBA_202205200SEA,2022-05-20,2022,1,WNBA,LAS,SEA,3.0,,6.0,0.667,3.0,2.0,0.529,17.0,9.0,2.0,0.714,7.0,5.0,32.0,2.0,-4.0,25.0,8.0,,
WNBA_202205230LVA,2022-05-23,2022,1,WNBA,LAS,LVA,1.0,3.0,4.0,,1.0,,0.444,9.0,4.0,2.0,0.667,3.0,2.0,22.433333333333334,,-14.0,10.0,4.0,,1.0
WNBA_202205250LAS,2022-05-25,2022,1,WNBA,PHO,LAS,5.0,1.0,4.0,,,,0.615,13.0,8.0,4.0,1.0,5.0,5.0,30.7,3.0,8.0,21.0,7.0,2.0,5.0
