game_id,date,season,week,league,away,home,def_ff,def_fr,def_int,def_pd,def_sacks,def_tackles,gp
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,,1.0,,1.0,,28.0,10.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,,,1.0,,53.0,8.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,1.0,,,0.5,38.0,7.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,1.0,,1.0,5.0,2.0,34.0,11.0
