game_id,date,season,week,league,away,home,def_ff,def_fr,def_int,def_pd,def_tackles,def_tackles_solo,gp,recv_rec,recv_yds
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,,,1.0,7.0,40.0,,12.0,,
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,,1.0,7.0,42.0,,10.0,,
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,2.0,2.0,14.0,48.0,,12.0,1.0,48.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,1.0,,4.0,7.0,88.0,,12.0,,
FOOTBALL_EFA_2026_SEASON_TOTAL,,2026,1,EFA,,,,,,,4.0,4.0,1.0,,
