game_id,date,season,week,league,away,home,rushing_tds,rushing_yards,tackles
SYNTHETIC_CFL_2024_W1_WPG,,2024,1,CFL,,,,,1.0
SYNTHETIC_CFL_2024_W4_WPG,,2024,4,CFL,,,0.0,18.0,
