game_id,date,season,week,league,away,home,assists,assists_minus_xa,avg_pass_distance,avg_pass_vertical,goals,goals_minus_xg,goals_plus_assists,key_passes,minutes_played,pass_completion_pct,passes_attempted,passes_over_expected,passes_over_expected_p100,points_added,shots,shots_on_target,xa,xg,xg_place,xg_plus_xa,xpass_completion_pct,xpoints_added
soccer-nasl-2016-xW5pyJKqg1,,2016,1,NASL,,,0.0,-3.377,20.504,2.9635,4.0,0.1847,4.0,30.0,1427.0,0.7405,578.0,1.208,0.209,3.0385,37.0,17.0,3.377,3.8153,-0.5876,7.1922,0.7384,3.0169
soccer-uslc-2017-xW5pyJKqg1,,2017,1,USLC,,,2.0,-0.2512,21.9032,4.363,3.0,0.2378,5.0,19.0,968.0,0.6845,336.0,-4.1023,-1.2209,1.3698,24.0,14.0,2.2512,2.7622,0.2688,5.0134,0.6967,1.899
soccer-nwsl-2018-zeQZeazqKw,,2018,1,NWSL,,,0.0,0.0,16.349,10.2735,0.0,0.0,0.0,0.0,16.0,0.6667,15.0,1.122,7.4799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5919,0.0
soccer-nwsl-2019-zeQZeazqKw,,2019,1,NWSL,,,0.0,-0.2,17.4524,4.3359,0.0,-0.0119,0.0,4.0,254.0,0.741,166.0,3.4114,2.0551,0.0,1.0,0.0,0.2,0.0119,-0.0119,0.2119,0.7204,0.0071
soccer-uslc-2019-0Oq62Dgq6D,,2019,1,USLC,,,1.0,0.4555,16.8556,-0.2759,2.0,0.0985,3.0,7.0,1024.0,0.8553,380.0,5.0045,1.317,2.4299,16.0,5.0,0.5445,1.9015,-0.0933,2.4461,0.8421,1.7408
soccer-uslc-2019-eVq3rNX5WO,,2019,1,USLC,,,2.0,-0.1281,21.542,2.8103,4.0,-0.5357,6.0,29.0,1886.0,0.7869,934.0,-7.3644,-0.7885,1.7648,29.0,10.0,2.1281,4.5357,-0.3714,6.6638,0.7948,2.0323
soccer-nwsl-2020-zeQZeazqKw,,2020,1,NWSL,,,1.0,0.7989,19.6594,6.0753,0.0,-0.0298,1.0,4.0,488.0,0.751,241.0,3.972,1.6481,0.0,1.0,1.0,0.2011,0.0298,0.0204,0.2309,0.7346,0.019
soccer-uslc-2020-0Oq62Dgq6D,,2020,1,USLC,,,0.0,-0.0239,21.7878,2.9538,0.0,-0.0167,0.0,1.0,394.0,0.8424,203.0,2.011,0.9906,0.0,1.0,0.0,0.0239,0.0167,-0.0167,0.0406,0.8325,0.0024
soccer-nwsl-2021-zeQZeazqKw,,2021,1,NWSL,,,2.0,1.171,19.2419,5.0766,0.0,0.0,2.0,7.0,525.0,0.6986,292.0,1.121,0.3839,0.0,0.0,0.0,0.829,0.0,0.0,0.829,0.6948,0.0
soccer-nwsl-2022-zeQZeazqKw,,2022,1,NWSL,,,3.0,1.8923,19.8841,3.9701,0.0,-0.0632,3.0,11.0,1126.0,0.7595,740.0,28.0743,3.7938,0.0,2.0,0.0,1.1077,0.0632,-0.0632,1.1709,0.7215,0.0577
soccer-nwsl-2023-zeQZeazqKw,,2023,1,NWSL,,,2.0,-0.0837,18.9213,4.0333,0.0,-0.4829,2.0,22.0,3077.0,0.8212,2388.0,65.8456,2.7574,0.0,6.0,1.0,2.0837,0.4829,-0.4552,2.5665,0.7936,0.3694
soccer-nwsl-2024-zeQZeazqKw,,2024,1,NWSL,,,0.0,-1.7962,17.8387,4.1552,0.0,-0.1461,0.0,22.0,2676.0,0.8476,2218.0,108.2489,4.8805,0.0,3.0,1.0,1.7962,0.1461,-0.0025,1.9422,0.7988,0.0689
soccer-uslc-2024-NWMWg9LMlz,,2024,1,USLC,,,1.0,-0.496,22.3606,4.2142,1.0,0.2883,2.0,14.0,1328.0,0.7775,701.0,-5.2934,-0.7551,0.0575,12.0,8.0,1.496,0.7117,0.2478,2.2078,0.785,0.3975
soccer-nwsl-2025-zeQZeazqKw,,2025,1,NWSL,,,2.0,-0.5751,16.994,2.9271,1.0,-0.3911,3.0,27.0,2703.0,0.8123,1598.0,51.1242,3.1993,0.8455,15.0,6.0,2.5751,1.3911,0.191,3.9662,0.7803,1.0002
soccer-uslc-2025-NWMWg9LMlz,,2025,1,USLC,,,0.0,-0.9727,22.1634,5.6785,0.0,-0.3691,0.0,17.0,2258.0,0.7397,995.0,-31.919,-3.2079,0.0,11.0,1.0,0.9727,0.3691,-0.3362,1.3417,0.7718,0.2917
soccer-nwsl-2026-zeQZeazqKw,,2026,1,NWSL,,,3.0,0.0117,16.659,1.4017,0.0,-0.2524,3.0,15.0,834.0,0.8265,415.0,30.8504,7.4338,0.0,5.0,0.0,2.9883,0.2524,-0.2524,3.2407,0.7522,0.2079
soccer-uslc-2026-NWMWg9LMlz,,2026,1,USLC,,,0.0,-0.5209,20.4327,1.7717,0.0,-0.0954,0.0,7.0,390.0,0.8314,172.0,11.2133,6.5194,0.0,3.0,1.0,0.5209,0.0954,-0.0445,0.6163,0.7662,0.0379
