game_id,date,season,week,league,away,home,extra_point,fg_20_29,fg_30_39,fg_50plus,fg_att_game,made_19,made_29,made_39,made_49,made_50,missed
FOOTBALL_XFL_2020_2_8_SEA@DC,2020-02-08,2020,1,XFL,SEA,DC,,,1.0,1.0,2.0,,,,,,
FOOTBALL_XFL_2020_2_15_NY@DC,2020-02-15,2020,2,XFL,NY,DC,,2.0,1.0,,3.0,,,,,,
FOOTBALL_XFL_2020_2_23_DC@LA,2020-02-23,2020,3,XFL,DC,LA,,,1.0,,1.0,,,,,,
FOOTBALL_XFL_2020_3_8_STL@DC,2020-03-08,2020,5,XFL,STL,DC,,1.0,,2.0,3.0,,,,,,
SYNTHETIC_USFL_2022_W1_TB,,2022,1,USFL,,,2.0,,,,,0.0,1.0,0.0,0.0,0.0,1.0
SYNTHETIC_USFL_2022_W2_TB,,2022,2,USFL,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0
SYNTHETIC_USFL_2022_W3_TB,,2022,3,USFL,,,3.0,,,,,0.0,1.0,0.0,1.0,0.0,1.0
SYNTHETIC_USFL_2022_W4_TB,,2022,4,USFL,,,1.0,,,,,0.0,0.0,1.0,0.0,0.0,1.0
SYNTHETIC_USFL_2022_W5_TB,,2022,5,USFL,,,3.0,,,,,,,,,,
SYNTHETIC_USFL_2022_W6_TB,,2022,6,USFL,,,4.0,,,,,,,,,,
SYNTHETIC_USFL_2022_W7_TB,,2022,7,USFL,,,1.0,,,,,0.0,0.0,2.0,0.0,0.0,0.0
SYNTHETIC_USFL_2022_W8_TB,,2022,8,USFL,,,1.0,,,,,0.0,0.0,2.0,0.0,0.0,1.0
SYNTHETIC_USFL_2022_W9_TB,,2022,9,USFL,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0
