game_id,date,season,week,league,away,home,assists,blocks,catches,completions,drops,hockeyAssists,throwAttempts,yardsReceived,yardsThrown
2023-05-13-PIT-DET,2023-05-13,2023,3,,PIT,DET,1.0,,6.0,6.0,,1.0,6.0,39.0,60.0
2023-06-11-DET-PIT,2023-06-11,2023,7,,DET,PIT,,1.0,2.0,2.0,,,2.0,41.0,-19.0
2023-06-23-DET-CHI,2023-06-23,2023,9,,DET,CHI,,,1.0,1.0,,,1.0,4.0,-2.0
2023-07-15-TOR-DET,2023-07-15,2023,12,,TOR,DET,,1.0,2.0,2.0,1.0,,2.0,15.0,14.0
