game_id,date,season,week,league,away,home,kick_returns,kr_long,kr_yards,receiving_yards,receptions,rush_attempts,rushing_yards
FOOTBALL_XFL_2020_2_15_NY@DC,2020-02-15,2020,2,XFL,NY,DC,2.0,23.0,43.0,10.0,1.0,,
FOOTBALL_XFL_2020_2_29_LA@NY,2020-02-29,2020,4,XFL,LA,NY,3.0,25.0,69.0,-2.0,1.0,1.0,6.0
