game_id,date,season,week,league,away,home,assists,games_played,goals,penalty_minutes,points,pp_goals
NLL_2019_SEASON_TOTAL,,2019,1,NLL,,,,1.0,,,,
NLL_2022_SEASON_TOTAL,,2022,1,NLL,,,8.0,13.0,,9.0,8.0,
NLL_2023_SEASON_TOTAL,,2023,1,NLL,,,4.0,18.0,1.0,10.0,5.0,1.0
