game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_bk,defensive_pd,defensive_tds,forced_fumbles,fumble_recoveries,kick_returns,kr_avg,kr_long,kr_tds,kr_yards,rec_avg,rec_long,receiving_fum,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_fum,rushing_tds,rushing_yards,sacks,safeties,tackles
FOOTBALL_NAL_2025_3_8_T425360G979249@T450150,2025-03-09,2025,1,NAL,Omaha Beef,Shreveport Rouxgaroux,,,,,,,,4.0,25.0,47.0,0.0,103.0,2.0,2.0,0.0,0.0,2.0,1.0,2.0,3.0,4.0,0.0,0.0,7.0,,,
FOOTBALL_NAL_2025_3_22_T425362G979256@T450150,2025-03-23,2025,3,NAL,Wheeling Miners,Shreveport Rouxgaroux,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,17.0,9.0,0.0,0.0,0.0,18.0,2.0,9.0,0.0,5.0,0.0,1.0,44.0,0.0,0.0,0.0
FOOTBALL_NAL_2025_4_3_T450150G979261@T425358,2025-04-04,2025,5,NAL,Shreveport Rouxgaroux,Idaho Horsemen,,,,,,,,2.0,29.0,54.0,1.0,59.0,,,,,,,6.0,23.0,5.0,0.0,1.0,32.0,,,
FOOTBALL_NAL_2025_5_3_T450150G979276@T463723,2025-05-03,2025,9,NAL,Shreveport Rouxgaroux,Beaumont Renegades,,,,,,,,3.0,25.0,57.0,1.0,75.0,16.0,22.0,0.0,2.0,32.0,2.0,6.0,16.0,5.0,0.0,0.0,28.0,,,
FOOTBALL_NAL_2025_5_10_T450150G979282@T434514,2025-05-10,2025,10,NAL,Shreveport Rouxgaroux,Columbus Lions,,,,,,,,,,,,,,,,,,,0.0,6.0,9.0,0.0,1.0,2.0,,,
FOOTBALL_NAL_2026_3_21_T566774G1127144@T600411,2026-03-21,2026,3,NAL,Omaha Beef,Salina Liberty,,,,,,,,2.0,22.0,23.0,0.0,45.0,-2.0,0.0,0.0,0.0,-2.0,1.0,3.0,7.0,4.0,0.0,1.0,10.0,,,
FOOTBALL_NAL_2026_3_28_T570667G1127147@T600411,2026-03-28,2026,4,NAL,Colorado Spartans,Salina Liberty,,,,,,,,2.0,28.0,33.0,0.0,56.0,,,,,,,,,,,,,,,
FOOTBALL_NAL_2026_4_4_T577047G1127185@T600411,2026-04-04,2026,5,NAL,Pueblo Punishers,Salina Liberty,,,,,,,,3.0,24.0,26.0,0.0,72.0,16.0,16.0,0.0,0.0,16.0,1.0,,,,,,,,,
FOOTBALL_NAL_2026_4_18_T600411G1127157@T570666,2026-04-19,2026,7,NAL,Salina Liberty,Sioux City Bandits,,,,,,,,5.0,20.0,26.0,0.0,100.0,14.0,21.0,0.0,1.0,28.0,2.0,3.0,6.0,3.0,0.0,0.0,10.0,,,
FOOTBALL_NAL_2026_4_25_T600414G1127162@T600411,2026-04-25,2026,8,NAL,Southwest Kansas Storm,Salina Liberty,,,,,,,,4.0,11.0,18.0,0.0,47.0,5.0,8.0,0.0,0.0,24.0,5.0,6.0,13.0,4.0,0.0,2.0,22.0,,,
FOOTBALL_NAL_2026_5_2_T600411G1127164@T573852,2026-05-03,2026,9,NAL,Salina Liberty,Louisiana Rouxgaroux,,,,,,,,2.0,25.0,42.0,0.0,51.0,8.0,8.0,0.0,0.0,8.0,1.0,6.0,21.0,9.0,0.0,1.0,53.0,,,
FOOTBALL_NAL_2026_5_9_T600411G1127167@T600414,2026-05-09,2026,10,NAL,Salina Liberty,Southwest Kansas Storm,,,,,,,,7.0,16.0,27.0,0.0,114.0,,,,,,,8.0,24.0,4.0,0.0,1.0,31.0,,,
