game_id,date,season,week,league,away,home,def_solo,def_tot,interceptions_lost,interceptions_made,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_yac,recv_yds,rush_att,rush_lg,rush_yds,sacks,tackles
FOOTBALL_CFL_2021_10_11_TOR@HAM,2021-10-11,2021,1,CFL,TOR,HAM,,,,,,,,,,,,,,,1.0,1.0,1.0,,
FOOTBALL_CFL_2022_10_14_HAM@CGY,2022-10-14,2022,1,CFL,HAM,CGY,,,,,,,,,,33.0,1.0,1.0,11.0,33.0,,,,,
FOOTBALL_CFL_2022_10_21_OTT@HAM,2022-10-21,2022,1,CFL,OTT,HAM,,,,,,,,,,19.0,2.0,2.0,15.0,25.0,,,,,
FOOTBALL_CFL_2022_10_29_HAM@OTT,2022-10-29,2022,1,CFL,HAM,OTT,,,,,,,,,,18.0,1.0,1.0,16.0,18.0,,,,,
FOOTBALL_CFL_2022_11_6_HAM@MTL,2022-11-06,2022,1,CFL,HAM,MTL,,,,,,,,,,,,1.0,,,,,,,
FOOTBALL_CFL_2022_6_11_HAM@SSK,2022-06-11,2022,1,CFL,HAM,SSK,,,,,,,,,,,,1.0,,,,,,,
FOOTBALL_CFL_2022_7_16_OTT@HAM,2022-07-16,2022,1,CFL,OTT,HAM,,,,,,,,,,39.0,1.0,1.0,21.0,39.0,,,,,
FOOTBALL_CFL_2022_7_28_MTL@HAM,2022-07-28,2022,1,CFL,MTL,HAM,1.0,1.0,,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2022_9_17_WPG@HAM,2022-09-17,2022,1,CFL,WPG,HAM,,,,,,,,,,44.0,3.0,3.0,48.0,66.0,,,,,
FOOTBALL_CFL_2022_9_5_TOR@HAM,2022-09-05,2022,1,CFL,TOR,HAM,1.0,1.0,,,,,,,,9.0,1.0,1.0,2.0,9.0,,,,,
SYNTHETIC_CFL_2022_W1_HAM,,2022,1,CFL,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,
6233,2022-07-16,2022,6,CFL,OTT,HAM,,,,,,,0.0,39.0,1.0,,,,,,,,,,
6267,2022-09-17,2022,15,CFL,WPG,HAM,,,,,,,0.0,66.0,3.0,,,,,,,,,,
6281,2022-10-14,2022,19,CFL,HAM,CGY,,,,,,,0.0,33.0,1.0,,,,,,,,,,
6284,2022-10-21,2022,20,CFL,OTT,HAM,,,,,,,0.0,25.0,2.0,,,,,,,,,,
9889284,2023-06-09,2023,1,CFL,HAM,WPG,,,,,,,0.0,0.0,0.0,,,,,,,,,,
9889292,2023-06-23,2023,3,CFL,MTL,HAM,,,,,,,0.0,0.0,0.0,,,,,,,,,,
9889302,2023-07-13,2023,6,CFL,HAM,EDM,,,,,,,0.0,7.0,1.0,,,,,,,,,,
9889307,2023-07-21,2023,7,CFL,TOR,HAM,,,,,,,0.0,0.0,0.0,,,,,,,,,,
9889310,2023-07-28,2023,8,CFL,HAM,OTT,,,,,,,0.0,11.0,1.0,,,,,,,,,,
9889322,2023-08-17,2023,11,CFL,EDM,HAM,,,,,,,0.0,6.0,1.0,,,,,,,,,,
9889332,2023-09-04,2023,13,CFL,TOR,HAM,,,,,,,0.0,0.0,0.0,,,,,,,,,,
9889334,2023-09-08,2023,14,CFL,HAM,OTT,,,,0.0,,,0.0,0.0,0.0,,,,,,,,,0.0,0.0
9889345,2023-09-23,2023,16,CFL,HAM,TOR,,,,0.0,,,0.0,17.0,2.0,,,,,,,,,0.0,0.0
9889349,2023-09-30,2023,17,CFL,CGY,HAM,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0
9889354,2023-10-13,2023,19,CFL,BC,HAM,,,,,,,0.0,13.0,1.0,,,,,,,,,,
10798017,2024-06-07,2024,1,CFL,HAM,CGY,,,,0.0,,,,,,,,,,,,,,0.0,1.0
10798058,2024-08-17,2024,11,CFL,EDM,HAM,,,,,,,0.0,2.0,1.0,,,,,,,,,,
