game_id,date,season,week,league,away,home,def_tackles,def_tackles_solo,gp,recv_rec,recv_td,recv_yds,rush_att,rush_yds
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,3.0,,9.0,1.0,1.0,19.0,1.0,3.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,,9.0,4.0,,26.0,2.0,42.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,,12.0,13.0,3.0,227.0,1.0,
FOOTBALL_EFA_2026_SEASON_TOTAL,,2026,1,EFA,,,1.0,1.0,1.0,,,,,
