game_id,date,season,week,league,away,home,def_tackles,gp,recv_rec,recv_td,recv_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,2.0,10.0,7.0,1.0,42.0,80.0,1.0,280.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,6.0,,,,18.0,,39.0
