game_id,date,season,week,league,away,home,receiving_tds,receiving_yards,receptions,rushing_yards
SYNTHETIC_50YARD_2026_W1_OCEANSIDEBOMBERS,2026-05-03,2026,1,50YARD,Minnesota Monsters,Oceanside Bombers,2.0,164.0,10.0,
SYNTHETIC_50YARD_2026_W3_OCEANSIDEBOMBERS,2026-05-16,2026,3,50YARD,OCEANSIDE BOMBERS,NASHVILLE KATS,,2.0,1.0,15.0
