game_id,date,season,week,league,away,home,def_solo,def_tot,interceptions_made,misc_td,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,rush_att,rush_lg,rush_td,rush_yds,rushing_tds,rushing_yards,sacks,score_fr,score_p,score_pts,score_r,score_tot,tackles
FOOTBALL_CFL_2019_7_13_CGY@HAM,2019-07-13,2019,1,CFL,CGY,HAM,,,,1.0,,,,11.0,1.0,2.0,,11.0,11.0,3.0,,1.0,6.0,,,,1.0,,12.0,1.0,2.0,
FOOTBALL_CFL_2019_7_18_TOR@CGY,2019-07-18,2019,1,CFL,TOR,CGY,,,,,,,,15.0,4.0,5.0,,28.0,30.0,12.0,14.0,,65.0,,,,,,,,,
FOOTBALL_CFL_2019_7_25_CGY@OTT,2019-07-25,2019,1,CFL,CGY,OTT,,,,,,,,7.0,1.0,1.0,,7.0,7.0,9.0,31.0,,70.0,,,,,,,,,
FOOTBALL_CFL_2019_7_6_CGY@SSK,2019-07-06,2019,1,CFL,CGY,SSK,,,,,,,,23.0,2.0,3.0,,22.0,25.0,13.0,18.0,1.0,63.0,,,,,,6.0,1.0,1.0,
FOOTBALL_CFL_2019_9_14_HAM@CGY,2019-09-14,2019,1,CFL,HAM,CGY,,,,,,,,20.0,3.0,4.0,,34.0,40.0,9.0,12.0,,42.0,,,,,,,,,
FOOTBALL_CFL_2019_9_20_CGY@TOR,2019-09-20,2019,1,CFL,CGY,TOR,,,,,,,,,1.0,1.0,1.0,7.0,11.0,2.0,5.0,,9.0,,,,,1.0,6.0,,1.0,
FOOTBALL_CFL_2019_9_2_EDM@CGY,2019-09-02,2019,1,CFL,EDM,CGY,,,,,,,,,,2.0,,,,16.0,20.0,,143.0,,,,,,,,,
FOOTBALL_CFL_2019_9_7_CGY@EDM,2019-09-07,2019,1,CFL,CGY,EDM,,,,,,,,7.0,3.0,3.0,,10.0,10.0,11.0,7.0,,24.0,,,,,,,,,
FOOTBALL_CFL_2021_10_16_CGY@BC,2021-10-16,2021,1,CFL,CGY,BC,,,,,,,,9.0,1.0,2.0,,8.0,9.0,12.0,18.0,,67.0,,,,,,,,,
FOOTBALL_CFL_2021_10_23_SSK@CGY,2021-10-23,2021,1,CFL,SSK,CGY,,,,,,,,5.0,1.0,4.0,,3.0,5.0,15.0,13.0,1.0,62.0,,,,,,6.0,1.0,1.0,
FOOTBALL_CFL_2021_10_29_CGY@OTT,2021-10-29,2021,1,CFL,CGY,OTT,,,,,,,,8.0,4.0,4.0,,9.0,13.0,16.0,14.0,1.0,103.0,,,,,,6.0,1.0,1.0,
