game_id,date,season,week,league,away,home,interceptions_lost,lost_fumbles,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
SYNTHETIC_USFL_W2_PHI,,,2,USFL,,,,,,,2.0,87.0,8.0,,
SYNTHETIC_USFL_W3_PHI,,,3,USFL,,,,,,,0.0,0.0,0.0,,
SYNTHETIC_USFL_W4_PHI,,,4,USFL,,,,,,,0.0,0.0,0.0,,
SYNTHETIC_USFL_W5_PHI,,,5,USFL,,,,,,,0.0,11.0,1.0,,
SYNTHETIC_USFL_W6_PHI,,,6,USFL,,,,,,,0.0,-2.0,1.0,,
SYNTHETIC_USFL_W7_PHI,,,7,USFL,,,,,,,0.0,5.0,1.0,,
SYNTHETIC_USFL_W8_PHI,,,8,USFL,,,,,,,0.0,44.0,4.0,,
SYNTHETIC_USFL_W9_PHI,,,9,USFL,,,,,,,0.0,32.0,1.0,0.0,0.0
SYNTHETIC_USFL_W10_PHI,,,10,USFL,,,,0.0,,,0.0,57.0,4.0,,
SYNTHETIC_USFL_W11_PHI,,,11,USFL,,,0.0,,0.0,7.0,0.0,0.0,0.0,,
