game_id,date,season,week,league,away,home,def_solo,def_tot,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_yac,recv_yds,rush_att,rush_lg,rush_yds,rushing_tds,rushing_yards
FOOTBALL_CFL_2019_11_1_MTL@OTT,2019-11-01,2019,1,CFL,MTL,OTT,,,,,,24.0,4.0,7.0,12.0,49.0,,,,,
FOOTBALL_CFL_2019_9_7_TOR@OTT,2019-09-07,2019,1,CFL,TOR,OTT,1.0,1.0,,,,13.0,4.0,4.0,7.0,38.0,1.0,11.0,11.0,,
10798018,2024-06-08,2024,1,CFL,SSK,EDM,,,0.0,12.0,1.0,,,,,,,,,,
10798094,2024-10-25,2024,21,CFL,TOR,EDM,,,0.0,98.0,4.0,,,,,,,,,0.0,-2.0
