game_id,date,season,week,league,away,home,receiving_tds,receiving_yards,receptions,solo_tackles,tackles,targets
FOOTBALL_XFL_2020_2_15_TB@SEA,2020-02-15,2020,2,XFL,TB,SEA,,11.0,1.0,,,1.0
FOOTBALL_XFL_2020_2_22_HOU@TB,2020-02-22,2020,3,XFL,HOU,TB,,24.0,1.0,,,1.0
FOOTBALL_XFL_2020_3_1_DC@TB,2020-03-01,2020,4,XFL,DC,TB,1.0,41.0,3.0,1.0,1.0,3.0
