game_id,date,season,week,league,away,home,completions,interceptions_lost,pass_attempts,passing_tds,passing_yards,rush_attempts,rushing_tds,rushing_yards,solo_tackles,tackles
FOOTBALL_XFL_2020_2_8_LA@HOU,2020-02-08,2020,1,XFL,LA,HOU,23.0,1.0,38.0,4.0,272.0,4.0,,26.0,,
FOOTBALL_XFL_2020_2_16_STL@HOU,2020-02-16,2020,2,XFL,STL,HOU,20.0,,31.0,3.0,170.0,4.0,,27.0,,
FOOTBALL_XFL_2020_2_22_HOU@TB,2020-02-22,2020,3,XFL,HOU,TB,24.0,,36.0,3.0,306.0,4.0,1.0,34.0,,
FOOTBALL_XFL_2020_3_1_HOU@DAL,2020-03-01,2020,4,XFL,HOU,DAL,25.0,1.0,41.0,2.0,239.0,5.0,,17.0,,
FOOTBALL_XFL_2020_3_7_SEA@HOU,2020-03-07,2020,5,XFL,SEA,HOU,27.0,2.0,38.0,3.0,351.0,7.0,,-5.0,2.0,2.0
