game_id,date,season,week,league,away,home,1pt_conversion,3pt_other,3pt_pass,conversions,interceptions_lost,lost_fumbles,passing_tds,passing_yards,receiving_yards,receptions,rushing_tds,rushing_yards
SYNTHETIC_USFL_2023_W1_PANTHERS,2023-04-16,2023,1,USFL,GAMBLERS,PANTHERS,,,,,0.0,,3.0,249.0,,,,0.0
SYNTHETIC_USFL_2023_W5_PANTHERS,2023-05-13,2023,5,USFL,PANTHERS,MAULERS,,,,,2.0,,1.0,162.0,-2.0,1.0,0.0,13.0
SYNTHETIC_USFL_2023_W6_PANTHERS,2023-05-20,2023,6,USFL,PANTHERS,STALLIONS,,,,,0.0,,1.0,222.0,,,0.0,5.0
2,2024-03-30,2024,1,UFL,PANTHERS,BATTLEHAWKS,,,,1.0,2.0,,0.0,176.0,,,2.0,17.0
7,2024-04-07,2024,2,UFL,PANTHERS,STALLIONS,1.0,,,,1.0,1.0,1.0,203.0,,,0.0,34.0
11,2024-04-14,2024,3,UFL,PANTHERS,ROUGHNECKS,,,,2.0,0.0,,1.0,208.0,,,2.0,73.0
15,2024-04-20,2024,4,UFL,BRAHMAS,PANTHERS,,,,,1.0,2.0,1.0,182.0,,,0.0,59.0
20,2024-04-28,2024,5,UFL,SHOWBOATS,PANTHERS,,,,,0.0,,0.0,175.0,,,1.0,10.0
23,2024-05-05,2024,6,UFL,PANTHERS,RENEGADES,,,,,0.0,,1.0,202.0,,,0.0,55.0
27,2024-05-12,2024,7,UFL,DEFENDERS,PANTHERS,1.0,,,,0.0,,0.0,153.0,,,1.0,13.0
29,2024-05-18,2024,8,UFL,PANTHERS,SHOWBOATS,,,,,0.0,,2.0,188.0,,,0.0,68.0
36,2024-05-26,2024,9,UFL,ROUGHNECKS,PANTHERS,2.0,,,,2.0,,1.0,231.0,,,2.0,86.0
37,2024-06-01,2024,10,UFL,STALLIONS,PANTHERS,,,,,0.0,,1.0,195.0,,,1.0,73.0
41,2024-06-08,2024,11,UFL,STALLIONS,PANTHERS,,,,,3.0,,1.0,182.0,,,0.0,3.0
45,2025-03-30,2025,1,UFL,SHOWBOATS,PANTHERS,1.0,,,,0.0,,1.0,193.0,,,1.0,29.0
47,2025-04-04,2025,2,UFL,PANTHERS,STALLIONS,,1.0,,,1.0,,1.0,140.0,,,0.0,30.0
51,2025-04-11,2025,3,UFL,STALLIONS,RENEGADES,,,,,2.0,,1.0,174.0,,,0.0,-2.0
53,2025-04-13,2025,3,UFL,PANTHERS,BRAHMAS,1.0,,,,1.0,,0.0,214.0,,,2.0,30.0
55,2025-04-18,2025,4,UFL,PANTHERS,SHOWBOATS,1.0,,,,1.0,,3.0,363.0,,,0.0,58.0
57,2025-04-20,2025,4,UFL,DEFENDERS,BRAHMAS,,,,,2.0,1.0,1.0,134.0,,,0.0,3.0
59,2025-04-26,2025,5,UFL,BATTLEHAWKS,PANTHERS,,,,1.0,1.0,,2.0,294.0,,,0.0,14.0
63,2025-05-04,2025,6,UFL,PANTHERS,DEFENDERS,2.0,,,,0.0,,2.0,188.0,,,1.0,75.0
66,2025-05-10,2025,7,UFL,RENEGADES,PANTHERS,,,1.0,,0.0,1.0,1.0,231.0,,,1.0,60.0
71,2025-05-18,2025,8,UFL,DEFENDERS,RENEGADES,,,,,0.0,,3.0,245.0,,,0.0,3.0
82,2025-05-17,2025,8,UFL,ROUGHNECKS,PANTHERS,1.0,,,,0.0,,3.0,167.0,,,0.0,22.0
74,2025-05-24,2025,9,UFL,STALLIONS,PANTHERS,1.0,,,,0.0,,2.0,236.0,,,0.0,15.0
83,2025-05-25,2025,9,UFL,ROUGHNECKS,DEFENDERS,,,,1.0,0.0,,0.0,121.0,,,1.0,48.0
75,2025-05-30,2025,10,UFL,DEFENDERS,BATTLEHAWKS,,,,,1.0,,2.0,221.0,,,0.0,8.0
76,2025-05-31,2025,10,UFL,PANTHERS,ROUGHNECKS,,,,,6.0,2.0,1.0,364.0,,,0.0,72.0
