game_id,date,season,week,league,away,home,assists,catches,completions,goals,hockeyAssists,hucksCompleted,pulls,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-06-03-NY-MTL,2023-06-03,2023,6,,NY,MTL,1.0,9.0,9.0,,,,,13.0,4.0,-14.0,58.0
2023-06-16-MTL-DC,2023-06-16,2023,8,,MTL,DC,,4.0,5.0,1.0,1.0,1.0,,5.0,,3.0,37.0
2023-06-25-MTL-TOR,2023-06-25,2023,9,,MTL,TOR,,3.0,4.0,,,,,4.0,,-15.0,23.0
2023-07-02-PHI-MTL,2023-07-02,2023,10,,PHI,MTL,,1.0,,,,,,1.0,1.0,1.0,
2023-07-22-MTL-NY,2023-07-22,2023,13,,MTL,NY,0.0,,0.0,,,0.0,0.0,0.0,,,0.0
