game_id,date,season,week,league,away,home,assisted_tackles,fumble_recoveries,fumble_recovery_yards,rec_avg,rec_long,receiving_2pt,receiving_fum,receiving_tds,receiving_yards,receptions,solo_tackles,tackles,tackles_for_loss,tfl_yards
FOOTBALL_IFL_2026_8_2_T3ARIZONARATTLERSG20260802OJNP@T2VEGASKNIGHTHAWKS,2026-08-02,2026,,IFL,#3 Arizona Rattlers,#2 Vegas Knight Hawks,0.0,1.0,0.0,,,,,,,,0.0,0.0,,
FOOTBALL_AF1_2026_5_17_T584761G1168220@T584747,2026-05-17,2026,6,AF1,Beaumont Renegades,Kentucky Barrels,,,,28.0,28.0,0.0,0.0,1.0,28.0,1.0,,,,
FOOTBALL_IFL_2026_7_11_TTUCSONSUGARSKULLSG20260711B8WE@TARIZONARATTLERS,2026-07-11,2026,16,IFL,Tucson Sugar Skulls,Arizona Rattlers,0.0,,,,,,,,,,1.0,1.0,1.0,0.0
