game_id,date,season,week,league,away,home,assist_tackles,def_solo,def_tot,solo_tackles,tackles
FOOTBALL_CFL_2018_10_12_HAM@TOR,2018-10-12,2018,1,CFL,HAM,TOR,,1.0,1.0,,
FOOTBALL_CFL_2018_11_3_MTL@HAM,2018-11-03,2018,1,CFL,MTL,HAM,,2.0,2.0,,
FOOTBALL_CFL_2018_9_22_HAM@BC,2018-09-22,2018,1,CFL,HAM,BC,,1.0,1.0,,
FOOTBALL_CFL_2018_9_29_BC@HAM,2018-09-29,2018,1,CFL,BC,HAM,,1.0,1.0,,
FOOTBALL_CFL_2018_9_8_HAM@TOR,2018-09-08,2018,1,CFL,HAM,TOR,,1.0,1.0,,
FOOTBALL_XFL_2020_2_9_TB@NY,2020-02-09,2020,1,XFL,TB,NY,4.0,,,,4.0
FOOTBALL_XFL_2020_2_15_TB@SEA,2020-02-15,2020,2,XFL,TB,SEA,2.0,,,1.0,3.0
FOOTBALL_XFL_2020_2_22_HOU@TB,2020-02-22,2020,3,XFL,HOU,TB,,,,1.0,1.0
FOOTBALL_XFL_2020_3_1_DC@TB,2020-03-01,2020,4,XFL,DC,TB,1.0,,,2.0,3.0
FOOTBALL_XFL_2020_3_8_TB@LA,2020-03-08,2020,5,XFL,TB,LA,1.0,,,1.0,2.0
