game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_bk,defensive_pd,defensive_tds,forced_fumbles,fumble_recoveries,fumbles,fumbles_lost,games_played,interceptions,kick_returns,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_long,passing_tds,passing_yards,punt_returns,receiving_yards,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,sacks,safeties,tackles,total_yards,yards_per_game
FOOTBALL_NAL_2021_columbus-lions_SEASON_TOTAL,2021-12-31,,0,,,COLUMBUS LIONS,,,,,,,,,,6.0,,3.0,,,,,,,,,,18.0,7.0,,,,,11.0,,,,0.0,1.0
FOOTBALL_NAL_2025_3_21_T425356G979257@T434514,2025-03-21,2025,3,NAL,Carolina Cobras,Columbus Lions,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5.0,,
FOOTBALL_NAL_2025_3_28_T434514G979258@T425356,2025-03-28,2025,4,NAL,Columbus Lions,Carolina Cobras,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2.0,9.0,0.0,0.0,19.0,,,,,,,,,,,,,0.0,0.0,3.0,,
FOOTBALL_NAL_2025_4_18_T463723G979268@T434514,2025-04-18,2025,7,NAL,Beaumont Renegades,Columbus Lions,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5.0,,
FOOTBALL_NAL_2025_4_26_T434514G979274@T425357,2025-04-27,2025,8,NAL,Columbus Lions,Colorado Spartans,6.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6.0,,
FOOTBALL_IFL_2026_3_28_TJACKSONVILLESHARKSG202603289OUR@TNAZWRANGLERS,2026-03-28,2026,3,IFL,Jacksonville Sharks,NAZ Wranglers,,,,,,,,,,,1.0,,,,,,21.0,11.0,25.0,3.0,171.0,,,1.3,3.0,4.0,0.0,5.0,,,,,
FOOTBALL_IFL_2026_4_17_TORLANDOPIRATESG202604173EPG@TJACKSONVILLESHARKS,2026-04-17,2026,6,IFL,Orlando Pirates,Jacksonville Sharks,,,,,,,,,,,0.0,,,,,,9.0,6.0,29.0,3.0,94.0,,,7.0,7.0,1.0,0.0,7.0,,,,,
FOOTBALL_IFL_2026_4_26_TJACKSONVILLESHARKSG20260426ME8M@TQUADCITYSTEAMWHEELERS,2026-04-26,2026,7,IFL,Jacksonville Sharks,Quad City Steamwheelers,,,,,,,,1.0,0.0,,0.0,,,,,,24.0,14.0,25.0,2.0,185.0,,,2.3,11.0,7.0,1.0,16.0,,,,,
FOOTBALL_IFL_2026_5_2_TNEWMEXICOCHUPACABRASG20260502IFQJ@TJACKSONVILLESHARKS,2026-05-02,2026,8,IFL,New Mexico Chupacabras,Jacksonville Sharks,,,,,,,,,,,0.0,,,,,,17.0,14.0,30.0,5.0,192.0,,,-4.0,1.0,4.0,0.0,-16.0,,,,,
FOOTBALL_IFL_2026_5_10_TTULSAOILERSG202605100LPR@TJACKSONVILLESHARKS,2026-05-10,2026,9,IFL,Tulsa Oilers,Jacksonville Sharks,,,,,,,,,,,0.0,,,,,,20.0,13.0,42.0,3.0,179.0,,,3.8,18.0,4.0,0.0,15.0,,,,,
FOOTBALL_IFL_2026_5_16_TJACKSONVILLESHARKSG20260516ZV31@TFISHERSFREIGHT,2026-05-16,2026,10,IFL,Jacksonville Sharks,Fishers Freight,,,,,,,,,,,0.0,,,,,,30.0,24.0,30.0,5.0,260.0,,,2.0,13.0,3.0,0.0,6.0,,,,,
FOOTBALL_IFL_2026_5_22_TJACKSONVILLESHARKSG20260522TJEW@TIOWABARNSTORMERS,2026-05-22,2026,11,IFL,Jacksonville Sharks,Iowa Barnstormers,,,,,,,,,,,0.0,,,,,,23.0,14.0,26.0,4.0,163.0,,,4.2,8.0,6.0,1.0,25.0,,,,,
FOOTBALL_IFL_2026_5_30_TFISHERSFREIGHTG20260530E67H@TJACKSONVILLESHARKS,2026-05-30,2026,12,IFL,Fishers Freight,Jacksonville Sharks,,,,,,,,,,,2.0,,,,,,31.0,17.0,23.0,2.0,193.0,,,-2.0,7.0,3.0,0.0,-6.0,,,,,
FOOTBALL_IFL_2026_6_6_TSANANTONIOGUNSLINGERSG20260606MDZ0@TJACKSONVILLESHARKS,2026-06-06,2026,13,IFL,San Antonio Gunslingers,Jacksonville Sharks,,,,,,,,,,,0.0,,,,,,12.0,6.0,23.0,2.0,59.0,,,1.3,4.0,4.0,1.0,5.0,,,,,
FOOTBALL_IFL_2026_6_12_TJACKSONVILLESHARKSG20260612DROA@TGREENBAYBLIZZARD,2026-06-12,2026,14,IFL,Jacksonville Sharks,Green Bay Blizzard,,,,,,,,,,,1.0,,,,,,26.0,16.0,19.0,2.0,155.0,,,-1.0,0.0,2.0,0.0,-2.0,,,,,
