game_id,date,season,week,league,away,home,assisted_tackles,completion_pct,def_interceptions,defensive_bk,defensive_pd,defensive_tds,forced_fumbles,fumble_recoveries,interceptions,kick_returns,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_incompletions,pass_long,pass_td,pass_yards_per_attempt,passing_rate,passing_sacks,passing_td_pass,passing_td_pass_pct,passing_yards,passing_yds_lost,pat_made,rec_avg,rec_long,receiving_fum,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rush_td,rushing_attempts,rushing_fum,rushing_tds,rushing_yards,sack_yards,sacks,safeties,solo_tackles,tackles,tackles_for_loss,tfl_yards
FOOTBALL_UFL_2024_3_31_DC@SA,2024-03-31,2024,1,UFL,DC,SA,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,
FOOTBALL_UFL_2024_6_9_SA@STL,2024-06-09,2024,1,UFL,SA,STL,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOOTBALL_UFL_2024_4_6_SA@MEM,2024-04-06,2024,2,UFL,SA,MEM,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOOTBALL_UFL_2024_4_14_STL@SA,2024-04-14,2024,3,UFL,STL,SA,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOOTBALL_NAL_2025_3_8_T425360G979249@T450150,2025-03-09,2025,1,NAL,Omaha Beef,Shreveport Rouxgaroux,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,22.0,22.0,0.0,22.0,,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,1.0,1.0,4.0,11.0,,10.0,0.0,2.0,36.0,,0.0,0.0,,4.0,,
FOOTBALL_NAL_2025_3_22_T425362G979256@T450150,2025-03-23,2025,3,NAL,Wheeling Miners,Shreveport Rouxgaroux,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,,10.0,0.0,1.0,37.0,,1.0,0.0,,1.0,,
FOOTBALL_NAL_2025_4_3_T450150G979261@T425358,2025-04-04,2025,5,NAL,Shreveport Rouxgaroux,Idaho Horsemen,3.0,,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,11.0,13.0,0.0,0.0,22.0,2.0,0.0,2.0,,3.0,1.0,1.0,1.0,,0.0,0.0,,3.0,,
FOOTBALL_NAL_2025_5_3_T450150G979276@T463723,2025-05-03,2025,9,NAL,Shreveport Rouxgaroux,Beaumont Renegades,2.0,,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,8.0,8.0,0.0,8.0,,,,,,,,,,,,,,,,,,,,,5.0,13.0,,9.0,0.0,2.0,49.0,,0.0,0.0,,4.0,,
FOOTBALL_NAL_2025_5_10_T450150G979282@T434514,2025-05-10,2025,10,NAL,Shreveport Rouxgaroux,Columbus Lions,1.0,,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,14.0,,11.0,0.0,2.0,43.0,,0.0,0.0,,2.0,,
FOOTBALL_NAL_2025_5_17_T434514G979287@T463723,2025-05-17,2025,11,NAL,Columbus Lions,Beaumont Renegades,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,0.0,0.0,6.0,1.0,6.0,24.0,,11.0,0.0,2.0,64.0,,,,,,,
