game_id,date,season,week,league,away,home,assists,games_played,goals,penalty_minutes,points,pp_assists,pp_goals,sh_goals
NLL_2019_SEASON_TOTAL,,2019,1,NLL,,,12.0,12.0,18.0,4.0,30.0,,,
NLL_2021_SEASON_TOTAL,,2021,1,NLL,,,25.0,16.0,20.0,13.0,45.0,,,
NLL_2022_SEASON_TOTAL,,2022,1,NLL,,,34.0,17.0,37.0,19.0,71.0,9.0,7.0,4.0
NLL_2023_SEASON_TOTAL,,2023,1,NLL,,,25.0,17.0,30.0,18.0,55.0,5.0,5.0,1.0
