game_id,date,season,week,league,away,home,recv_gp,recv_rec,recv_td,recv_yds
FOOTBALL_CFL_2019_SEASON_TOTAL,,2019,1,CFL,,,12.0,3.0,,33.0
FOOTBALL_CFL_2021_SEASON_TOTAL,,2021,1,CFL,,,12.0,2.0,1.0,11.0
FOOTBALL_CFL_2022_SEASON_TOTAL,,2022,1,CFL,,,15.0,4.0,1.0,49.0
