game_id,date,season,week,league,away,home,assisted_tackles,completion_pct,def_interceptions,defensive_bk,defensive_pd,defensive_tds,defensive_tfl,forced_fumbles,fumble_recoveries,interceptions,pass_attempts,pass_completions,pass_long,pass_yards_per_attempt,passing_2pt,passing_rate,passing_sacks,passing_td_pass,passing_yards,passing_yds_lost,rush_avg,rush_long,rushing_2pt,rushing_attempts,rushing_fum,rushing_tds,rushing_yards,sacks,tackles
FOOTBALL_AF1_2026_4_12_T584761G1168201@T612138,2026-04-13,2026,1,AF1,Beaumont Renegades,Oceanside Bombers,,583.0,,,,,,,,0.0,24.0,14.0,29.0,14.0,0.0,112.0,3.0,2.0,194.0,0.0,3.0,13.0,0.0,10.0,0.0,2.0,30.0,,
FOOTBALL_AF1_2026_4_19_T612138G1168205@T584747,2026-04-19,2026,2,AF1,Oceanside Bombers,Kentucky Barrels,,528.0,,,,,,,,1.0,36.0,19.0,26.0,11.0,0.0,96.0,0.0,4.0,212.0,0.0,9.0,34.0,0.0,6.0,2.0,2.0,53.0,,
FOOTBALL_AF1_2026_4_26_T612138G1168208@T584761,2026-04-26,2026,3,AF1,Oceanside Bombers,Beaumont Renegades,0.0,762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,16.0,45.0,10.0,0.0,138.0,0.0,4.0,167.0,0.0,1.0,4.0,0.0,3.0,0.0,1.0,4.0,0.0,1.0
FOOTBALL_AF1_2026_5_3_T602555G1168214@T612138,2026-05-04,2026,4,AF1,Minnesota Monsters,Oceanside Bombers,,600.0,,,,,,,,1.0,40.0,24.0,0.0,13.0,0.0,83.0,0.0,1.0,312.0,0.0,1.0,0.0,0.0,5.0,1.0,0.0,6.0,,
FOOTBALL_AF1_2026_5_16_T612138G1168221@T584637,2026-05-16,2026,6,AF1,Oceanside Bombers,Nashville Kats,,667.0,,,,,,,,1.0,33.0,22.0,39.0,14.0,0.0,124.0,0.0,7.0,312.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,7.0,,
FOOTBALL_AF1_2026_5_24_T584747G1168383@T612138,2026-05-25,2026,7,AF1,Kentucky Barrels,Oceanside Bombers,,406.0,,,,,,,,4.0,32.0,13.0,0.0,13.0,0.0,50.0,0.0,3.0,175.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,10.0,,
FOOTBALL_AF1_2026_5_30_T612138G1168387@T584635,2026-05-30,2026,8,AF1,Oceanside Bombers,Albany Firebirds,0.0,625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,40.0,25.0,45.0,11.0,0.0,68.0,5.0,2.0,276.0,0.0,1.0,3.0,0.0,7.0,0.0,2.0,5.0,0.0,1.0
FOOTBALL_AF1_2026_6_7_T602555G1168393@T612138,2026-06-08,2026,9,AF1,Minnesota Monsters,Oceanside Bombers,,464.0,,,,,,,,0.0,28.0,13.0,0.0,10.0,0.0,85.0,0.0,2.0,135.0,0.0,3.0,0.0,0.0,8.0,0.0,2.0,22.0,,
FOOTBALL_AF1_2026_6_14_T584641G1168397@T612138,2026-06-14,2026,10,AF1,Washington Wolfpack,Oceanside Bombers,,478.0,,,,,,,,3.0,46.0,22.0,23.0,9.0,0.0,63.0,1.0,4.0,207.0,0.0,,,,,,,,,
FOOTBALL_AF1_2026_6_20_T612138G1168399@T584761,2026-06-20,2026,11,AF1,Oceanside Bombers,Beaumont Renegades,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,1.0
