game_id,date,season,week,league,away,home,1pt_conversion,3pt_pass,conversions,interceptions_lost,lost_fumbles,passing_tds,passing_yards,receiving_yards,rushing_tds,rushing_yards
SYNTHETIC_USFL_2023_W1_SHOWBOATS,2023-04-15,2023,1,USFL,SHOWBOATS,STARS,,,,1.0,,2.0,198.0,,,29.0
SYNTHETIC_USFL_2023_W2_SHOWBOATS,2023-04-22,2023,2,USFL,STALLIONS,SHOWBOATS,,,,1.0,,0.0,139.0,,0.0,0.0
SYNTHETIC_USFL_2023_W3_SHOWBOATS,2023-04-29,2023,3,USFL,GAMBLERS,SHOWBOATS,,,,1.0,,3.0,308.0,,0.0,15.0
SYNTHETIC_USFL_2023_W4_SHOWBOATS,2023-05-06,2023,4,USFL,PANTHERS,SHOWBOATS,,,,0.0,,0.0,151.0,,2.0,27.0
SYNTHETIC_USFL_2023_W5_SHOWBOATS,2023-05-14,2023,5,USFL,BREAKERS,SHOWBOATS,,,1.0,1.0,,1.0,224.0,-13.0,0.0,5.0
SYNTHETIC_USFL_2023_W6_SHOWBOATS,2023-05-20,2023,6,USFL,SHOWBOATS,MAULERS,,,,0.0,,1.0,135.0,,0.0,21.0
SYNTHETIC_USFL_2023_W7_SHOWBOATS,2023-05-28,2023,7,USFL,SHOWBOATS,GAMBLERS,,,,1.0,1.0,2.0,146.0,,0.0,0.0
SYNTHETIC_USFL_2023_W8_SHOWBOATS,2023-06-04,2023,8,USFL,GENERALS,SHOWBOATS,,,,1.0,,0.0,176.0,,0.0,24.0
SYNTHETIC_USFL_2023_W9_SHOWBOATS,2023-06-10,2023,9,USFL,SHOWBOATS,BREAKERS,,,,2.0,,0.0,224.0,,0.0,18.0
SYNTHETIC_USFL_2023_W10_SHOWBOATS,2023-06-17,2023,10,USFL,SHOWBOATS,STALLIONS,,,,1.0,,1.0,154.0,,0.0,9.0
SYNTHETIC_UFL_2024_W1_SHOWBOATS,2024-03-31,2024,1,UFL,ROUGHNECKS,SHOWBOATS,,,,1.0,,1.0,204.0,,0.0,16.0
SYNTHETIC_UFL_2024_W2_SHOWBOATS,2024-04-06,2024,2,UFL,SHOWBOATS,BRAHMAS,1.0,,,0.0,1.0,1.0,194.0,,0.0,58.0
SYNTHETIC_UFL_2024_W3_SHOWBOATS,2024-04-13,2024,3,UFL,STALLIONS,SHOWBOATS,,,,1.0,,1.0,239.0,,0.0,3.0
SYNTHETIC_UFL_2024_W4_SHOWBOATS,2024-04-20,2024,4,UFL,BATTLEHAWKS,SHOWBOATS,,,1.0,1.0,,1.0,92.0,,0.0,2.0
SYNTHETIC_UFL_2024_W5_SHOWBOATS,2024-04-28,2024,5,UFL,SHOWBOATS,PANTHERS,,,,2.0,1.0,3.0,248.0,,0.0,24.0
SYNTHETIC_UFL_2024_W6_SHOWBOATS,2024-05-04,2024,6,UFL,SHOWBOATS,STALLIONS,,1.0,,1.0,2.0,2.0,180.0,,0.0,15.0
SYNTHETIC_UFL_2024_W7_SHOWBOATS,2024-05-11,2024,7,UFL,RENEGADES,SHOWBOATS,,,1.0,2.0,2.0,2.0,230.0,,1.0,34.0
SYNTHETIC_UFL_2024_W8_SHOWBOATS,2024-05-18,2024,8,UFL,PANTHERS,SHOWBOATS,,,,1.0,,2.0,235.0,,0.0,5.0
SYNTHETIC_UFL_2024_W9_SHOWBOATS,2024-05-26,2024,9,UFL,SHOWBOATS,DEFENDERS,1.0,,1.0,2.0,,1.0,120.0,,1.0,9.0
SYNTHETIC_UFL_2024_W10_SHOWBOATS,2024-06-02,2024,10,UFL,SHOWBOATS,ROUGHNECKS,1.0,,,1.0,,0.0,152.0,,0.0,4.0
SYNTHETIC_UFL_2025_W1_SHOWBOATS,2025-03-30,2025,1,UFL,SHOWBOATS,PANTHERS,,,,2.0,,1.0,197.0,,0.0,7.0
SYNTHETIC_UFL_2025_W2_SHOWBOATS,2025-04-05,2025,2,UFL,DEFENDERS,SHOWBOATS,,,,1.0,,0.0,194.0,,1.0,26.0
SYNTHETIC_UFL_2025_W3_SHOWBOATS,2025-04-12,2025,3,UFL,SHOWBOATS,ROUGHNECKS,,,1.0,2.0,,1.0,194.0,,1.0,41.0
SYNTHETIC_UFL_2025_W4_SHOWBOATS,2025-04-18,2025,4,UFL,PANTHERS,SHOWBOATS,,,,1.0,,0.0,87.0,,0.0,34.0
SYNTHETIC_UFL_2025_W5_SHOWBOATS,2025-04-25,2025,5,UFL,STALLIONS,SHOWBOATS,,,1.0,0.0,,1.0,235.0,,0.0,11.0
SYNTHETIC_UFL_2025_W6_SHOWBOATS,2025-05-03,2025,6,UFL,ROUGHNECKS,SHOWBOATS,,,1.0,1.0,1.0,1.0,214.0,,1.0,16.0
SYNTHETIC_UFL_2025_W7_SHOWBOATS,2025-05-11,2025,7,UFL,SHOWBOATS,BATTLEHAWKS,,,,0.0,1.0,1.0,196.0,,0.0,8.0
SYNTHETIC_UFL_2025_W8_SHOWBOATS,2025-05-16,2025,8,UFL,BRAHMAS,SHOWBOATS,,,3.0,0.0,,0.0,36.0,,0.0,29.0
SYNTHETIC_UFL_2025_W9_SHOWBOATS,2025-05-24,2025,9,UFL,SHOWBOATS,RENEGADES,,,,1.0,1.0,0.0,172.0,,0.0,4.0
SYNTHETIC_UFL_2025_W10_SHOWBOATS,2025-06-01,2025,10,UFL,SHOWBOATS,STALLIONS,,,,2.0,,0.0,127.0,,0.0,22.0
