game_id,date,season,week,league,away,home,def_solo,def_tot,interceptions_made,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,sacks,score_conv,score_p,score_pts,score_tot,tackles
FOOTBALL_CFL_2019_10_12_BC@EDM,2019-10-12,2019,1,CFL,BC,EDM,1.0,1.0,,,,,5.0,1.0,1.0,,1.0,5.0,,,,,,
FOOTBALL_CFL_2019_10_18_SSK@BC,2019-10-18,2019,1,CFL,SSK,BC,,,,,,,17.0,4.0,4.0,,17.0,40.0,,,,,,
FOOTBALL_CFL_2019_6_15_WPG@BC,2019-06-15,2019,1,CFL,WPG,BC,,,,,,,6.0,1.0,1.0,,2.0,6.0,,,,,,
FOOTBALL_CFL_2019_6_29_BC@CGY,2019-06-29,2019,1,CFL,BC,CGY,,,,,,,10.0,3.0,3.0,,12.0,18.0,,1.0,,2.0,,
FOOTBALL_CFL_2019_7_11_EDM@BC,2019-07-11,2019,1,CFL,EDM,BC,2.0,2.0,,,,,17.0,2.0,2.0,,-2.0,13.0,,,,,,
FOOTBALL_CFL_2019_7_20_BC@SSK,2019-07-20,2019,1,CFL,BC,SSK,,,,,,,15.0,3.0,3.0,1.0,18.0,26.0,,,1.0,6.0,1.0,
FOOTBALL_CFL_2019_7_27_SSK@BC,2019-07-27,2019,1,CFL,SSK,BC,,,,,,,10.0,1.0,2.0,,10.0,10.0,,,,,,
FOOTBALL_CFL_2019_7_6_BC@TOR,2019-07-06,2019,1,CFL,BC,TOR,,,,,,,23.0,3.0,4.0,,22.0,44.0,,,,,,
FOOTBALL_CFL_2019_8_10_BC@HAM,2019-08-10,2019,1,CFL,BC,HAM,,,,,,,11.0,3.0,3.0,,13.0,23.0,,,,,,
FOOTBALL_CFL_2019_8_15_BC@WPG,2019-08-15,2019,1,CFL,BC,WPG,,,,,,,10.0,3.0,5.0,,10.0,24.0,,,,,,
FOOTBALL_CFL_2019_8_24_HAM@BC,2019-08-24,2019,1,CFL,HAM,BC,,,,,,,15.0,5.0,6.0,,31.0,57.0,,,,,,
FOOTBALL_CFL_2019_9_13_OTT@BC,2019-09-13,2019,1,CFL,OTT,BC,,,,,,,30.0,3.0,4.0,,31.0,68.0,,,,,,
FOOTBALL_CFL_2019_9_21_BC@OTT,2019-09-21,2019,1,CFL,BC,OTT,1.0,1.0,,,,,12.0,1.0,1.0,,,12.0,,,,,,
FOOTBALL_CFL_2019_9_28_MTL@BC,2019-09-28,2019,1,CFL,MTL,BC,,,,,,,14.0,4.0,4.0,,22.0,30.0,,,,,,
FOOTBALL_CFL_2019_9_6_BC@MTL,2019-09-06,2019,1,CFL,BC,MTL,,,,,,,10.0,1.0,1.0,,10.0,10.0,,,,,,
SYNTHETIC_CFL_2022_W1_BC,,2022,1,CFL,,,,,,0.0,22.0,3.0,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W4_BC,,2022,4,CFL,,,,,,0.0,18.0,2.0,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W5_BC,,2022,5,CFL,,,,,,0.0,54.0,5.0,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W7_BC,2022-07-21,2022,7,CFL,HAM,BC,,,,1.0,27.0,3.0,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W8_BC,2022-07-29,2022,8,CFL,BC,SSK,,,,1.0,61.0,4.0,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W9_BC,2022-08-06,2022,9,CFL,EDM,BC,,,,0.0,26.0,3.0,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W10_BC,2022-08-13,2022,10,CFL,BC,CGY,,,,0.0,69.0,5.0,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W11_BC,2022-08-19,2022,11,CFL,BC,SSK,,,,0.0,43.0,2.0,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W14_BC,2022-09-09,2022,14,CFL,BC,MTL,,,,0.0,3.0,1.0,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W15_BC,2022-09-17,2022,15,CFL,BC,CGY,,,,0.0,11.0,1.0,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W16_BC,2022-09-24,2022,16,CFL,CGY,BC,,,,0.0,7.0,1.0,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W17_BC,2022-09-30,2022,17,CFL,OTT,BC,,,,0.0,13.0,1.0,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W18_BC,2022-10-08,2022,18,CFL,BC,TOR,,,,0.0,23.0,3.0,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W19_BC,2022-10-15,2022,19,CFL,WPG,BC,,,,0.0,43.0,3.0,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W20_BC,2022-10-21,2022,20,CFL,BC,EDM,,,,0.0,24.0,2.0,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W21_BC,2022-10-28,2022,21,CFL,BC,WPG,,,,0.0,10.0,1.0,,,,,,,,,,,,
SYNTHETIC_CFL_2023_W1_BC,2023-06-08,2023,1,CFL,BC,CGY,,,,0.0,25.0,3.0,,,,,,,,,,,,
SYNTHETIC_CFL_2023_W2_BC,2023-06-17,2023,2,CFL,EDM,BC,,,,0.0,10.0,1.0,,,,,,,,,,,,
SYNTHETIC_CFL_2023_W3_BC,2023-06-22,2023,3,CFL,BC,WPG,,,,0.0,11.0,1.0,,,,,,,,,,,,
SYNTHETIC_CFL_2023_W4_BC,2023-07-03,2023,4,CFL,BC,TOR,,,,0.0,31.0,2.0,,,,,,,,,,,,
SYNTHETIC_CFL_2023_W5_BC,2023-07-09,2023,5,CFL,MTL,BC,,,,1.0,55.0,4.0,,,,,,,,,,,,
SYNTHETIC_CFL_2023_W7_BC,2023-07-22,2023,7,CFL,SSK,BC,,,,0.0,29.0,2.0,,,,,,,,,,,,
SYNTHETIC_CFL_2023_W8_BC,2023-07-29,2023,8,CFL,BC,EDM,,,,0.0,30.0,5.0,,,,,,,,,,,,
SYNTHETIC_CFL_2023_W9_BC,2023-08-03,2023,9,CFL,BC,WPG,,,,0.0,10.0,1.0,,,,,,,,,,,,
SYNTHETIC_CFL_2023_W10_BC,2023-08-12,2023,10,CFL,CGY,BC,,,0.0,0.0,21.0,2.0,,,,,,,0.0,,,,,1.0
SYNTHETIC_CFL_2023_W11_BC,2023-08-20,2023,11,CFL,BC,SSK,,,,0.0,43.0,3.0,,,,,,,,,,,,
SYNTHETIC_CFL_2023_W12_BC,2023-08-26,2023,12,CFL,HAM,BC,,,,0.0,42.0,5.0,,,,,,,,,,,,
SYNTHETIC_CFL_2023_W13_BC,2023-09-02,2023,13,CFL,BC,MTL,,,,0.0,45.0,4.0,,,,,,,,,,,,
SYNTHETIC_CFL_2023_W15_BC,2023-09-16,2023,15,CFL,OTT,BC,,,,0.0,56.0,3.0,,,,,,,,,,,,
SYNTHETIC_CFL_2023_W16_BC,2023-09-22,2023,16,CFL,BC,EDM,,,,1.0,88.0,4.0,,,,,,,,,,,,
SYNTHETIC_CFL_2023_W17_BC,2023-09-29,2023,17,CFL,SSK,BC,,,0.0,0.0,47.0,2.0,,,,,,,0.0,,,,,0.0
