game_id,date,season,week,league,away,home,interceptions_lost,pass_att,pass_cmp,pass_lg,pass_loss,pass_sack,pass_yds,passing_tds,passing_yards,rushing_tds,rushing_yards
FOOTBALL_CFL_2019_7_6_CGY@SSK,2019-07-06,2019,1,CFL,CGY,SSK,,1.0,1.0,11.0,10.0,1.0,11.0,,,,
SYNTHETIC_USFL_2023_W5_GAMBLERS,2023-05-13,2023,5,USFL,STALLIONS,GAMBLERS,0.0,,,,,,,0.0,15.0,0.0,-2.0
SYNTHETIC_USFL_2023_W8_GAMBLERS,2023-06-03,2023,8,USFL,MAULERS,GAMBLERS,0.0,,,,,,,0.0,3.0,,
82,2025-05-17,2025,8,UFL,ROUGHNECKS,PANTHERS,1.0,,,,,,,0.0,0.0,,
78,2025-06-01,2025,10,UFL,SHOWBOATS,STALLIONS,0.0,,,,,,,0.0,31.0,0.0,28.0
