game_id,date,season,week,league,away,home,assist_tackles,assists,assists_minus_xa,avg_pass_distance,avg_pass_vertical,goals,goals_minus_xg,goals_plus_assists,int_avg,int_long,int_tds,int_yards,interceptions_made,key_passes,minutes_played,pass_completion_pct,passes_attempted,passes_over_expected,passes_over_expected_p100,points_added,receiving_tds,receiving_yards,receptions,rush_attempts,rushing_tds,rushing_yards,shots,shots_on_target,solo_tackles,targets,xa,xg,xg_place,xg_plus_xa,xpass_completion_pct,xpoints_added
FOOTBALL_AAF_2019_2_9_ATL@ORL,2019-02-09,2019,1,AAF,ATL,ORL,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,,,,1.0,6.0,,,,,,
FOOTBALL_AAF_2019_2_17_ATL@SD,2019-02-17,2019,2,AAF,ATL,SD,,,,,,,,,,,,,,,,,,,,,1.0,37.0,3.0,1.0,0.0,-2.0,,,,3.0,,,,,,
FOOTBALL_AAF_2019_2_24_BIR@ATL,2019-02-24,2019,3,AAF,BIR,ATL,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,58.0,3.0,,,,,,1.0,5.0,,,,,,
FOOTBALL_AAF_2019_3_3_ATL@ARI,2019-03-03,2019,4,AAF,ATL,ARI,,,,,,,,,,,,,,,,,,,,,0.0,50.0,2.0,,,,,,,4.0,,,,,,
FOOTBALL_AAF_2019_3_10_MEM@ATL,2019-03-10,2019,5,AAF,MEM,ATL,,,,,,,,,,,,,,,,,,,,,0.0,31.0,2.0,,,,,,,5.0,,,,,,
FOOTBALL_AAF_2019_3_17_SA@ATL,2019-03-17,2019,6,AAF,SA,ATL,,,,,,,,,,,,,,,,,,,,,0.0,35.0,3.0,,,,,,,4.0,,,,,,
FOOTBALL_AAF_2019_3_23_ORL@ATL,2019-03-23,2019,7,AAF,ORL,ATL,,,,,,,,,,,,,,,,,,,,,1.0,53.0,6.0,1.0,0.0,18.0,,,,7.0,,,,,,
FOOTBALL_AAF_2019_3_31_ATL@BIR,2019-03-31,2019,8,AAF,ATL,BIR,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,48.0,3.0,,,,,,1.0,5.0,,,,,,
soccer-mls-2024-Vj58weDM8n,,2024,1,MLS,,,,1.0,-0.3831,17.7689,1.3091,1.0,-0.5348,2.0,,,,,,6.0,579.0,0.6897,145.0,-0.7224,-0.4982,0.1412,,,,,,,18.0,5.0,,,1.3831,1.5348,-0.6522,2.918,0.6946,0.7381
soccer-mlsnp-2024-jYQJXkP5GR,,2024,1,MLSNP,,,,0.0,0.0,25.1104,-0.8952,0.0,-0.3262,0.0,,,,,,0.0,98.0,0.4706,34.0,-4.236,-12.4587,0.0,,,,,,,4.0,2.0,,,0.0,0.3262,0.0261,0.3262,0.5952,0.3669
soccer-mls-2026-Vj58weDM8n,,2026,1,MLS,,,,0.0,0.0,14.8871,-2.067,0.0,-0.2111,0.0,,,,,,0.0,92.0,0.7,30.0,-3.222,-10.7401,0.0,,,,,,,2.0,1.0,,,0.0,0.2111,-0.1289,0.2111,0.8074,0.003
soccer-mlsnp-2026-jYQJXkP5GR,,2026,1,MLSNP,,,,0.0,-0.3539,16.2231,0.6506,0.0,-0.0966,0.0,,,,,,3.0,78.0,0.7727,22.0,2.2701,10.3185,0.0,,,,,,,1.0,1.0,,,0.3539,0.0966,0.547,0.4505,0.6695,0.062
