game_id,date,season,week,league,away,home,assists,blk,cto,games_played,goals,lb,penalty_minutes,pim,points,pp_assists,sh_goals,sog,to
NLL_2019_SEASON_TOTAL,,2019,1,NLL,,,,,,1.0,,,2.0,,,,,,
NLL_2021_SEASON_TOTAL,,2021,1,NLL,,,10.0,,,14.0,8.0,,,,18.0,,,,
NLL_2022_SEASON_TOTAL,,2022,1,NLL,,,20.0,,,18.0,10.0,,4.0,,30.0,1.0,1.0,,
703329312,2025-10-28,2025,1,NLL,TORONTO,OSHAWA,1.0,1.0,1.0,,0.0,1.0,,1.0,,,,1.0,1.0
