game_id,date,season,week,league,away,home,assists,assists_minus_xa,avg_pass_distance,avg_pass_vertical,goals,goals_minus_xg,goals_plus_assists,key_passes,minutes_played,pass_completion_pct,passes_attempted,passes_over_expected,passes_over_expected_p100,points_added,shots,shots_on_target,xa,xg,xg_place,xg_plus_xa,xpass_completion_pct,xpoints_added
soccer-uslc-2023-gpMOoo1Mzy,,2023,1,USLC,,,3.0,0.6803,19.6564,1.1684,4.0,-1.0662,7.0,13.0,1182.0,0.6294,313.0,-11.2459,-3.5929,1.4004,25.0,10.0,2.3197,5.0662,-1.1638,7.3858,0.6653,4.2399
soccer-uslc-2024-OlMlejP5Lz,,2024,1,USLC,,,0.0,-0.3954,16.1192,3.2329,2.0,0.574,2.0,4.0,272.0,0.6,50.0,-2.3882,-4.7764,0.0006,8.0,3.0,0.3954,1.426,-0.2697,1.8214,0.6478,0.692
soccer-uslc-2026-OlMlejP5Lz,,2026,1,USLC,,,0.0,-0.8876,16.7668,3.4559,1.0,-1.651,1.0,7.0,387.0,0.5909,66.0,-4.965,-7.5227,0.3696,14.0,4.0,0.8876,2.651,-0.9234,3.5387,0.6661,2.243
