game_id,date,season,week,league,away,home,def_tackles,fg_att,fg_made,gp,pat_att,pat_made,punt_no,punt_yds,rush_att
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,4.0,14.0,12.0,12.0,20.0,16.0,69.0,2851.0,
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,2.0,15.0,4.0,8.0,17.0,10.0,37.0,1540.0,1.0
