game_id,date,season,week,league,away,home,interceptions_lost,passing_tds,passing_yards,rushing_tds,rushing_yards
SYNTHETIC_CFL_2023_W3_EDM,2023-06-25,2023,3,CFL,TOR,EDM,1.0,2.0,163.0,0.0,4.0
SYNTHETIC_CFL_2023_W4_EDM,2023-06-30,2023,4,CFL,EDM,OTT,3.0,1.0,223.0,0.0,8.0
SYNTHETIC_CFL_2023_W6_EDM,2023-07-13,2023,6,CFL,HAM,EDM,0.0,1.0,201.0,,
SYNTHETIC_CFL_2024_W21_EDM,2024-10-25,2024,21,CFL,TOR,EDM,0.0,0.0,6.0,0.0,5.0
SYNTHETIC_CFL_2025_W3_TOR,2025-06-20,2025,3,CFL,SSK,TOR,,,,1.0,1.0
SYNTHETIC_CFL_2025_W15_TOR,2025-09-13,2025,15,CFL,EDM,TOR,0.0,0.0,35.0,,
SYNTHETIC_CFL_2025_W16_TOR,2025-09-19,2025,16,CFL,MTL,TOR,1.0,1.0,207.0,0.0,18.0
SYNTHETIC_CFL_2025_W18_TOR,2025-10-04,2025,18,CFL,HAM,TOR,4.0,2.0,323.0,0.0,1.0
SYNTHETIC_CFL_2025_W19_TOR,2025-10-10,2025,19,CFL,TOR,SSK,1.0,1.0,221.0,,
SYNTHETIC_CFL_2025_W20_TOR,2025-10-18,2025,20,CFL,TOR,CGY,1.0,0.0,119.0,0.0,9.0
