game_id,date,season,week,league,away,home,def_ff,def_fr,def_tackles,gp,rush_att,rush_yds
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,,1.0,16.0,12.0,,
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,,,8.0,11.0,18.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,1.0,,3.0,4.0,9.0,21.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,,,6.0,4.0,5.0
