game_id,date,season,week,league,away,home,assists,blocks,catches,completions,drops,goals,hucksCompleted,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-05-13-NY-DC,2023-05-13,2023,3,,NY,DC,,,1.0,,,1.0,,,,33.0,
2023-05-20-NY-PHI,2023-05-20,2023,4,,NY,PHI,,,1.0,1.0,,,,1.0,,16.0,-10.0
2023-06-02-NY-BOS,2023-06-02,2023,6,,NY,BOS,,2.0,7.0,5.0,1.0,,,6.0,,49.0,10.0
2023-06-03-NY-MTL,2023-06-03,2023,6,,NY,MTL,,,,,,1.0,,,1.0,,
2023-06-10-ATL-NY,2023-06-10,2023,7,,ATL,NY,1.0,,4.0,2.0,,1.0,,3.0,,33.0,-1.0
2023-06-16-BOS-NY,2023-06-16,2023,8,,BOS,NY,,,9.0,7.0,,1.0,,8.0,1.0,48.0,19.0
2023-06-30-DC-NY,2023-06-30,2023,10,,DC,NY,,,3.0,2.0,,1.0,,2.0,,50.0,17.0
2023-07-22-MTL-NY,2023-07-22,2023,13,,MTL,NY,1.0,,4.0,2.0,,2.0,1.0,2.0,,55.0,63.0
